index,Unique ID,Datetime,Structure,Neighborhood,Entries,Exits,Year,Month,Day,Hour,isHoliday,Neighborhood Size
39,100,2017-02-04 04:00:00,1,Astoria,44.0,41.0,2017,2,4,4,0,1
311,100,2017-02-04 08:00:00,1,Astoria,52.0,165.0,2017,2,4,8,0,1
770,100,2017-02-04 12:00:00,1,Astoria,150.0,243.0,2017,2,4,12,0,1
1233,100,2017-02-04 16:00:00,1,Astoria,283.0,192.0,2017,2,4,16,0,1
1695,100,2017-02-04 20:00:00,1,Astoria,185.0,162.0,2017,2,4,20,0,1
2161,100,2017-02-05 00:00:00,1,Astoria,39.0,41.0,2017,2,5,0,0,1
2622,100,2017-02-05 04:00:00,1,Astoria,43.0,32.0,2017,2,5,4,0,1
3086,100,2017-02-05 08:00:00,1,Astoria,41.0,109.0,2017,2,5,8,0,1
3546,100,2017-02-05 12:00:00,1,Astoria,129.0,134.0,2017,2,5,12,0,1
4011,100,2017-02-05 16:00:00,1,Astoria,186.0,128.0,2017,2,5,16,0,1
4471,100,2017-02-05 20:00:00,1,Astoria,133.0,119.0,2017,2,5,20,0,1
4933,100,2017-02-06 00:00:00,1,Astoria,47.0,28.0,2017,2,6,0,0,1
5375,100,2017-02-06 04:00:00,1,Astoria,89.0,293.0,2017,2,6,4,0,1
5824,100,2017-02-06 08:00:00,1,Astoria,540.0,1100.0,2017,2,6,8,0,1
6290,100,2017-02-06 12:00:00,1,Astoria,936.0,1044.0,2017,2,6,12,0,1
6756,100,2017-02-06 16:00:00,1,Astoria,2023.0,455.0,2017,2,6,16,0,1
7222,100,2017-02-06 20:00:00,1,Astoria,1474.0,307.0,2017,2,6,20,0,1
7682,100,2017-02-07 00:00:00,1,Astoria,2.0,8.0,2017,2,7,0,0,1
8112,100,2017-02-07 04:00:00,1,Astoria,98.0,321.0,2017,2,7,4,0,1
8558,100,2017-02-07 08:00:00,1,Astoria,515.0,1211.0,2017,2,7,8,0,1
9024,100,2017-02-07 12:00:00,1,Astoria,947.0,1063.0,2017,2,7,12,0,1
9490,100,2017-02-07 16:00:00,1,Astoria,2113.0,474.0,2017,2,7,16,0,1
9956,100,2017-02-07 20:00:00,1,Astoria,1549.0,330.0,2017,2,7,20,0,1
10418,100,2017-02-08 00:00:00,1,Astoria,24.0,15.0,2017,2,8,0,0,1
10853,100,2017-02-08 04:00:00,1,Astoria,119.0,367.0,2017,2,8,4,0,1
11299,100,2017-02-08 08:00:00,1,Astoria,568.0,1244.0,2017,2,8,8,0,1
11765,100,2017-02-08 12:00:00,1,Astoria,991.0,1062.0,2017,2,8,12,0,1
12231,100,2017-02-08 16:00:00,1,Astoria,2104.0,535.0,2017,2,8,16,0,1
12697,100,2017-02-08 20:00:00,1,Astoria,1524.0,391.0,2017,2,8,20,0,1
