index,Unique ID,Datetime,Structure,Neighborhood,Entries,Exits,Year,Month,Day,Hour,isHoliday,Neighborhood Size
371,160,2017-02-04 08:00:00,1,Upper East Side,2129.0,3810.0,2017,2,4,8,0,2
830,160,2017-02-04 12:00:00,1,Upper East Side,5406.0,6033.0,2017,2,4,12,0,2
1293,160,2017-02-04 16:00:00,1,Upper East Side,8737.0,7432.0,2017,2,4,16,0,2
1755,160,2017-02-04 20:00:00,1,Upper East Side,6516.0,4012.0,2017,2,4,20,0,2
2221,160,2017-02-05 00:00:00,1,Upper East Side,2208.0,1317.0,2017,2,5,0,0,2
2682,160,2017-02-05 04:00:00,1,Upper East Side,258.0,352.0,2017,2,5,4,0,2
3146,160,2017-02-05 08:00:00,1,Upper East Side,1223.0,2590.0,2017,2,5,8,0,2
3606,160,2017-02-05 12:00:00,1,Upper East Side,4029.0,5207.0,2017,2,5,12,0,2
4071,160,2017-02-05 16:00:00,1,Upper East Side,6903.0,5987.0,2017,2,5,16,0,2
4531,160,2017-02-05 20:00:00,1,Upper East Side,4260.0,2603.0,2017,2,5,20,0,2
4992,160,2017-02-06 00:00:00,1,Upper East Side,1513.0,1009.0,2017,2,6,0,0,2
5433,160,2017-02-06 04:00:00,1,Upper East Side,237.0,215.0,2017,2,6,4,0,2
5884,160,2017-02-06 08:00:00,1,Upper East Side,11356.0,9646.0,2017,2,6,8,0,2
6350,160,2017-02-06 12:00:00,1,Upper East Side,7762.0,7882.0,2017,2,6,12,0,2
6816,160,2017-02-06 16:00:00,1,Upper East Side,14158.0,12114.0,2017,2,6,16,0,2
7282,160,2017-02-06 20:00:00,1,Upper East Side,8614.0,8383.0,2017,2,6,20,0,2
7740,160,2017-02-07 00:00:00,1,Upper East Side,1960.0,1614.0,2017,2,7,0,0,2
8170,160,2017-02-07 04:00:00,1,Upper East Side,156.0,107.0,2017,2,7,4,0,2
8618,160,2017-02-07 08:00:00,1,Upper East Side,12224.0,9864.0,2017,2,7,8,0,2
9084,160,2017-02-07 12:00:00,1,Upper East Side,7940.0,8412.0,2017,2,7,12,0,2
9550,160,2017-02-07 16:00:00,1,Upper East Side,14661.0,11947.0,2017,2,7,16,0,2
10016,160,2017-02-07 20:00:00,1,Upper East Side,9010.0,8704.0,2017,2,7,20,0,2
10476,160,2017-02-08 00:00:00,1,Upper East Side,1961.0,1699.0,2017,2,8,0,0,2
10910,160,2017-02-08 04:00:00,1,Upper East Side,135.0,233.0,2017,2,8,4,0,2
11359,160,2017-02-08 08:00:00,1,Upper East Side,12080.0,10308.0,2017,2,8,8,0,2
11825,160,2017-02-08 12:00:00,1,Upper East Side,8631.0,8590.0,2017,2,8,12,0,2
12291,160,2017-02-08 16:00:00,1,Upper East Side,15330.0,12328.0,2017,2,8,16,0,2
12757,160,2017-02-08 20:00:00,1,Upper East Side,9534.0,9191.0,2017,2,8,20,0,2
13222,160,2017-02-09 00:00:00,1,Upper East Side,2084.0,1856.0,2017,2,9,0,0,2
13678,160,2017-02-09 04:00:00,1,Upper East Side,227.0,323.0,2017,2,9,4,0,2
14138,160,2017-02-09 08:00:00,1,Upper East Side,6888.0,6026.0,2017,2,9,8,0,2
14604,160,2017-02-09 12:00:00,1,Upper East Side,5213.0,5287.0,2017,2,9,12,0,2
15070,160,2017-02-09 16:00:00,1,Upper East Side,8091.0,7481.0,2017,2,9,16,0,2
15536,160,2017-02-09 20:00:00,1,Upper East Side,4892.0,4723.0,2017,2,9,20,0,2
15993,160,2017-02-10 00:00:00,1,Upper East Side,1459.0,995.0,2017,2,10,0,0,2
16422,160,2017-02-10 04:00:00,1,Upper East Side,92.0,34.0,2017,2,10,4,0,2
16870,160,2017-02-10 08:00:00,1,Upper East Side,11544.0,9976.0,2017,2,10,8,0,2
17336,160,2017-02-10 12:00:00,1,Upper East Side,8696.0,8339.0,2017,2,10,12,0,2
17802,160,2017-02-10 16:00:00,1,Upper East Side,14841.0,13615.0,2017,2,10,16,0,2
18268,160,2017-02-10 20:00:00,1,Upper East Side,10229.0,8377.0,2017,2,10,20,0,2
18734,160,2017-02-11 00:00:00,1,Upper East Side,2643.0,1866.0,2017,2,11,0,0,2
19197,160,2017-02-11 04:00:00,1,Upper East Side,242.0,269.0,2017,2,11,4,0,2
19659,160,2017-02-11 08:00:00,1,Upper East Side,1931.0,3821.0,2017,2,11,8,0,2
20123,160,2017-02-11 12:00:00,1,Upper East Side,5601.0,6411.0,2017,2,11,12,0,2
20584,160,2017-02-11 16:00:00,1,Upper East Side,8917.0,7775.0,2017,2,11,16,0,2
21049,160,2017-02-11 20:00:00,1,Upper East Side,6901.0,4055.0,2017,2,11,20,0,2
21511,160,2017-02-12 00:00:00,1,Upper East Side,2344.0,1423.0,2017,2,12,0,0,2
21975,160,2017-02-12 04:00:00,1,Upper East Side,279.0,353.0,2017,2,12,4,0,2
22439,160,2017-02-12 08:00:00,1,Upper East Side,1156.0,2493.0,2017,2,12,8,0,2
22899,160,2017-02-12 12:00:00,1,Upper East Side,3944.0,5305.0,2017,2,12,12,0,2
23362,160,2017-02-12 16:00:00,1,Upper East Side,6285.0,5124.0,2017,2,12,16,0,2
23822,160,2017-02-12 20:00:00,1,Upper East Side,3880.0,2439.0,2017,2,12,20,0,2
24276,160,2017-02-13 00:00:00,1,Upper East Side,1322.0,678.0,2017,2,13,0,0,2
24713,160,2017-02-13 04:00:00,1,Upper East Side,224.0,99.0,2017,2,13,4,0,2
25164,160,2017-02-13 08:00:00,1,Upper East Side,11547.0,9960.0,2017,2,13,8,0,2
25630,160,2017-02-13 12:00:00,1,Upper East Side,7252.0,8048.0,2017,2,13,12,0,2
26096,160,2017-02-13 16:00:00,1,Upper East Side,14332.0,13296.0,2017,2,13,16,0,2
26562,160,2017-02-13 20:00:00,1,Upper East Side,9278.0,9061.0,2017,2,13,20,0,2
27019,160,2017-02-14 00:00:00,1,Upper East Side,2080.0,1587.0,2017,2,14,0,0,2
27452,160,2017-02-14 04:00:00,1,Upper East Side,194.0,247.0,2017,2,14,4,0,2
27905,160,2017-02-14 08:00:00,1,Upper East Side,11887.0,9901.0,2017,2,14,8,0,2
28371,160,2017-02-14 12:00:00,1,Upper East Side,8387.0,8649.0,2017,2,14,12,0,2
28837,160,2017-02-14 16:00:00,1,Upper East Side,15910.0,13927.0,2017,2,14,16,0,2
29303,160,2017-02-14 20:00:00,1,Upper East Side,9173.0,8923.0,2017,2,14,20,0,2
29760,160,2017-02-15 00:00:00,1,Upper East Side,2189.0,1796.0,2017,2,15,0,0,2
30196,160,2017-02-15 04:00:00,1,Upper East Side,240.0,160.0,2017,2,15,4,0,2
30649,160,2017-02-15 08:00:00,1,Upper East Side,11802.0,9881.0,2017,2,15,8,0,2
31115,160,2017-02-15 12:00:00,1,Upper East Side,8426.0,8430.0,2017,2,15,12,0,2
31581,160,2017-02-15 16:00:00,1,Upper East Side,15046.0,12563.0,2017,2,15,16,0,2
32047,160,2017-02-15 20:00:00,1,Upper East Side,9121.0,8891.0,2017,2,15,20,0,2
32506,160,2017-02-16 00:00:00,1,Upper East Side,2115.0,1882.0,2017,2,16,0,0,2
32940,160,2017-02-16 04:00:00,1,Upper East Side,96.0,98.0,2017,2,16,4,0,2
33392,160,2017-02-16 08:00:00,1,Upper East Side,11797.0,10252.0,2017,2,16,8,0,2
33858,160,2017-02-16 12:00:00,1,Upper East Side,8600.0,8623.0,2017,2,16,12,0,2
34324,160,2017-02-16 16:00:00,1,Upper East Side,14715.0,12496.0,2017,2,16,16,0,2
34790,160,2017-02-16 20:00:00,1,Upper East Side,9577.0,8867.0,2017,2,16,20,0,2
35249,160,2017-02-17 00:00:00,1,Upper East Side,2291.0,1904.0,2017,2,17,0,0,2
35691,160,2017-02-17 04:00:00,1,Upper East Side,113.0,178.0,2017,2,17,4,0,2
36143,160,2017-02-17 08:00:00,1,Upper East Side,10488.0,9836.0,2017,2,17,8,0,2
36609,160,2017-02-17 12:00:00,1,Upper East Side,9016.0,9583.0,2017,2,17,12,0,2
37075,160,2017-02-17 16:00:00,1,Upper East Side,14893.0,12753.0,2017,2,17,16,0,2
37541,160,2017-02-17 20:00:00,1,Upper East Side,9354.0,7367.0,2017,2,17,20,0,2
38007,160,2017-02-18 00:00:00,1,Upper East Side,2379.0,1765.0,2017,2,18,0,0,2
38465,160,2017-02-18 04:00:00,1,Upper East Side,276.0,232.0,2017,2,18,4,0,2
38928,160,2017-02-18 08:00:00,1,Upper East Side,1910.0,3894.0,2017,2,18,8,0,2
39386,160,2017-02-18 12:00:00,1,Upper East Side,5660.0,7572.0,2017,2,18,12,0,2
39841,160,2017-02-18 16:00:00,1,Upper East Side,9489.0,8863.0,2017,2,18,16,0,2
40301,160,2017-02-18 20:00:00,1,Upper East Side,7286.0,4727.0,2017,2,18,20,0,2
40765,160,2017-02-19 00:00:00,1,Upper East Side,2418.0,1618.0,2017,2,19,0,0,2
41226,160,2017-02-19 04:00:00,1,Upper East Side,260.0,390.0,2017,2,19,4,0,2
41690,160,2017-02-19 08:00:00,1,Upper East Side,1332.0,2848.0,2017,2,19,8,0,2
42152,160,2017-02-19 12:00:00,1,Upper East Side,4834.0,7034.0,2017,2,19,12,0,2
42608,160,2017-02-19 16:00:00,1,Upper East Side,8580.0,7325.0,2017,2,19,16,0,2
43068,160,2017-02-19 20:00:00,1,Upper East Side,5076.0,3880.0,2017,2,19,20,0,2
43530,160,2017-02-20 00:00:00,1,Upper East Side,1437.0,1145.0,2017,2,20,0,1,2
43988,160,2017-02-20 04:00:00,1,Upper East Side,90.0,87.0,2017,2,20,4,1,2
44451,160,2017-02-20 08:00:00,1,Upper East Side,3040.0,5780.0,2017,2,20,8,1,2
44911,160,2017-02-20 12:00:00,1,Upper East Side,6112.0,8663.0,2017,2,20,12,1,2
45372,160,2017-02-20 16:00:00,1,Upper East Side,11292.0,8017.0,2017,2,20,16,1,2
45832,160,2017-02-20 20:00:00,1,Upper East Side,6356.0,4656.0,2017,2,20,20,1,2
46289,160,2017-02-21 00:00:00,1,Upper East Side,1592.0,991.0,2017,2,21,0,0,2
46731,160,2017-02-21 04:00:00,1,Upper East Side,147.0,236.0,2017,2,21,4,0,2
47180,160,2017-02-21 08:00:00,1,Upper East Side,10439.0,9053.0,2017,2,21,8,0,2
47646,160,2017-02-21 12:00:00,1,Upper East Side,8083.0,8466.0,2017,2,21,12,0,2
48112,160,2017-02-21 16:00:00,1,Upper East Side,13851.0,11286.0,2017,2,21,16,0,2
48578,160,2017-02-21 20:00:00,1,Upper East Side,8289.0,8381.0,2017,2,21,20,0,2
49043,160,2017-02-22 00:00:00,1,Upper East Side,2132.0,2245.0,2017,2,22,0,0,2
49487,160,2017-02-22 04:00:00,1,Upper East Side,206.0,328.0,2017,2,22,4,0,2
49940,160,2017-02-22 08:00:00,1,Upper East Side,10859.0,9288.0,2017,2,22,8,0,2
50406,160,2017-02-22 12:00:00,1,Upper East Side,8279.0,9142.0,2017,2,22,12,0,2
50872,160,2017-02-22 16:00:00,1,Upper East Side,14710.0,11335.0,2017,2,22,16,0,2
51338,160,2017-02-22 20:00:00,1,Upper East Side,8813.0,8598.0,2017,2,22,20,0,2
51803,160,2017-02-23 00:00:00,1,Upper East Side,2310.0,2378.0,2017,2,23,0,0,2
52250,160,2017-02-23 04:00:00,1,Upper East Side,212.0,141.0,2017,2,23,4,0,2
52699,160,2017-02-23 08:00:00,1,Upper East Side,10816.0,9794.0,2017,2,23,8,0,2
53165,160,2017-02-23 12:00:00,1,Upper East Side,8310.0,9303.0,2017,2,23,12,0,2
53631,160,2017-02-23 16:00:00,1,Upper East Side,14810.0,11953.0,2017,2,23,16,0,2
54097,160,2017-02-23 20:00:00,1,Upper East Side,9063.0,8433.0,2017,2,23,20,0,2
54563,160,2017-02-24 00:00:00,1,Upper East Side,2440.0,2783.0,2017,2,24,0,0,2
55011,160,2017-02-24 04:00:00,1,Upper East Side,328.0,458.0,2017,2,24,4,0,2
55466,160,2017-02-24 08:00:00,1,Upper East Side,10081.0,9632.0,2017,2,24,8,0,2
55932,160,2017-02-24 12:00:00,1,Upper East Side,8586.0,9457.0,2017,2,24,12,0,2
56398,160,2017-02-24 16:00:00,1,Upper East Side,15022.0,12755.0,2017,2,24,16,0,2
56864,160,2017-02-24 20:00:00,1,Upper East Side,9831.0,7790.0,2017,2,24,20,0,2
57330,160,2017-02-25 00:00:00,1,Upper East Side,2595.0,2022.0,2017,2,25,0,0,2
57784,160,2017-02-25 04:00:00,1,Upper East Side,289.0,305.0,2017,2,25,4,0,2
58245,160,2017-02-25 08:00:00,1,Upper East Side,1865.0,3984.0,2017,2,25,8,0,2
58702,160,2017-02-25 12:00:00,1,Upper East Side,5689.0,6794.0,2017,2,25,12,0,2
59162,160,2017-02-25 16:00:00,1,Upper East Side,8813.0,7416.0,2017,2,25,16,0,2
59623,160,2017-02-25 20:00:00,1,Upper East Side,6489.0,4094.0,2017,2,25,20,0,2
60086,160,2017-02-26 00:00:00,1,Upper East Side,2277.0,1297.0,2017,2,26,0,0,2
60550,160,2017-02-26 04:00:00,1,Upper East Side,349.0,472.0,2017,2,26,4,0,2
61011,160,2017-02-26 08:00:00,1,Upper East Side,1148.0,2560.0,2017,2,26,8,0,2
61470,160,2017-02-26 12:00:00,1,Upper East Side,4712.0,5432.0,2017,2,26,12,0,2
61930,160,2017-02-26 16:00:00,1,Upper East Side,6019.0,5627.0,2017,2,26,16,0,2
62391,160,2017-02-26 20:00:00,1,Upper East Side,4579.0,3121.0,2017,2,26,20,0,2
62843,160,2017-02-27 00:00:00,1,Upper East Side,1500.0,678.0,2017,2,27,0,0,2
63274,160,2017-02-27 04:00:00,1,Upper East Side,189.0,133.0,2017,2,27,4,0,2
63727,160,2017-02-27 08:00:00,1,Upper East Side,11125.0,9610.0,2017,2,27,8,0,2
64193,160,2017-02-27 12:00:00,1,Upper East Side,7611.0,7770.0,2017,2,27,12,0,2
64660,160,2017-02-27 16:00:00,1,Upper East Side,14398.0,12043.0,2017,2,27,16,0,2
65127,160,2017-02-27 20:00:00,1,Upper East Side,8824.0,8364.0,2017,2,27,20,0,2
65585,160,2017-02-28 00:00:00,1,Upper East Side,1929.0,1570.0,2017,2,28,0,0,2
66011,160,2017-02-28 04:00:00,1,Upper East Side,89.0,114.0,2017,2,28,4,0,2
66460,160,2017-02-28 08:00:00,1,Upper East Side,11679.0,10154.0,2017,2,28,8,0,2
66927,160,2017-02-28 12:00:00,1,Upper East Side,8341.0,8369.0,2017,2,28,12,0,2
67394,160,2017-02-28 16:00:00,1,Upper East Side,15176.0,12451.0,2017,2,28,16,0,2
67861,160,2017-02-28 20:00:00,1,Upper East Side,9169.0,8777.0,2017,2,28,20,0,2
68320,160,2017-03-01 00:00:00,1,Upper East Side,1942.0,1736.0,2017,3,1,0,0,2
68755,160,2017-03-01 04:00:00,1,Upper East Side,179.0,87.0,2017,3,1,4,0,2
69207,160,2017-03-01 08:00:00,1,Upper East Side,11839.0,10314.0,2017,3,1,8,0,2
69674,160,2017-03-01 12:00:00,1,Upper East Side,9114.0,9188.0,2017,3,1,12,0,2
70141,160,2017-03-01 16:00:00,1,Upper East Side,14924.0,12279.0,2017,3,1,16,0,2
70608,160,2017-03-01 20:00:00,1,Upper East Side,9017.0,8718.0,2017,3,1,20,0,2
71069,160,2017-03-02 00:00:00,1,Upper East Side,1999.0,1771.0,2017,3,2,0,0,2
71514,160,2017-03-02 04:00:00,1,Upper East Side,86.0,107.0,2017,3,2,4,0,2
71966,160,2017-03-02 08:00:00,1,Upper East Side,12350.0,10960.0,2017,3,2,8,0,2
72433,160,2017-03-02 12:00:00,1,Upper East Side,8586.0,8801.0,2017,3,2,12,0,2
72900,160,2017-03-02 16:00:00,1,Upper East Side,15101.0,12163.0,2017,3,2,16,0,2
73367,160,2017-03-02 20:00:00,1,Upper East Side,9323.0,9157.0,2017,3,2,20,0,2
73829,160,2017-03-03 00:00:00,1,Upper East Side,2149.0,1814.0,2017,3,3,0,0,2
74265,160,2017-03-03 04:00:00,1,Upper East Side,161.0,98.0,2017,3,3,4,0,2
74721,160,2017-03-03 08:00:00,1,Upper East Side,10759.0,9387.0,2017,3,3,8,0,2
75187,160,2017-03-03 12:00:00,1,Upper East Side,8998.0,9209.0,2017,3,3,12,0,2
75654,160,2017-03-03 16:00:00,1,Upper East Side,15322.0,13775.0,2017,3,3,16,0,2
76121,160,2017-03-03 20:00:00,1,Upper East Side,10145.0,8181.0,2017,3,3,20,0,2
76588,160,2017-03-04 00:00:00,1,Upper East Side,2742.0,1792.0,2017,3,4,0,0,2
77050,160,2017-03-04 04:00:00,1,Upper East Side,261.0,302.0,2017,3,4,4,0,2
77503,160,2017-03-04 08:00:00,1,Upper East Side,1852.0,3470.0,2017,3,4,8,0,2
77965,160,2017-03-04 12:00:00,1,Upper East Side,5549.0,6743.0,2017,3,4,12,0,2
78419,160,2017-03-04 16:00:00,1,Upper East Side,9027.0,7581.0,2017,3,4,16,0,2
78882,160,2017-03-04 20:00:00,1,Upper East Side,6821.0,4113.0,2017,3,4,20,0,2
79335,160,2017-03-05 00:00:00,1,Upper East Side,2185.0,1386.0,2017,3,5,0,0,2
79798,160,2017-03-05 04:00:00,1,Upper East Side,235.0,305.0,2017,3,5,4,0,2
80262,160,2017-03-05 08:00:00,1,Upper East Side,1160.0,2553.0,2017,3,5,8,0,2
80707,160,2017-03-05 12:00:00,1,Upper East Side,4408.0,5371.0,2017,3,5,12,0,2
81167,160,2017-03-05 16:00:00,1,Upper East Side,6814.0,5689.0,2017,3,5,16,0,2
81607,160,2017-03-05 20:00:00,1,Upper East Side,4134.0,3039.0,2017,3,5,20,0,2
82063,160,2017-03-06 00:00:00,1,Upper East Side,1302.0,659.0,2017,3,6,0,0,2
82491,160,2017-03-06 04:00:00,1,Upper East Side,220.0,118.0,2017,3,6,4,0,2
82939,160,2017-03-06 08:00:00,1,Upper East Side,11421.0,9780.0,2017,3,6,8,0,2
83406,160,2017-03-06 12:00:00,1,Upper East Side,7990.0,8369.0,2017,3,6,12,0,2
83873,160,2017-03-06 16:00:00,1,Upper East Side,14926.0,12177.0,2017,3,6,16,0,2
84340,160,2017-03-06 20:00:00,1,Upper East Side,9118.0,8703.0,2017,3,6,20,0,2
84800,160,2017-03-07 00:00:00,1,Upper East Side,1920.0,1597.0,2017,3,7,0,0,2
85230,160,2017-03-07 04:00:00,1,Upper East Side,137.0,76.0,2017,3,7,4,0,2
85679,160,2017-03-07 08:00:00,1,Upper East Side,12052.0,10260.0,2017,3,7,8,0,2
86146,160,2017-03-07 12:00:00,1,Upper East Side,8384.0,9042.0,2017,3,7,12,0,2
86613,160,2017-03-07 16:00:00,1,Upper East Side,15512.0,12748.0,2017,3,7,16,0,2
87080,160,2017-03-07 20:00:00,1,Upper East Side,9337.0,9044.0,2017,3,7,20,0,2
87541,160,2017-03-08 00:00:00,1,Upper East Side,1994.0,1832.0,2017,3,8,0,0,2
87975,160,2017-03-08 04:00:00,1,Upper East Side,103.0,47.0,2017,3,8,4,0,2
88426,160,2017-03-08 08:00:00,1,Upper East Side,11748.0,10074.0,2017,3,8,8,0,2
88893,160,2017-03-08 12:00:00,1,Upper East Side,9482.0,10297.0,2017,3,8,12,0,2
89360,160,2017-03-08 16:00:00,1,Upper East Side,15497.0,12651.0,2017,3,8,16,0,2
89827,160,2017-03-08 20:00:00,1,Upper East Side,9467.0,9093.0,2017,3,8,20,0,2
90289,160,2017-03-09 00:00:00,1,Upper East Side,2090.0,1842.0,2017,3,9,0,0,2
90725,160,2017-03-09 04:00:00,1,Upper East Side,167.0,116.0,2017,3,9,4,0,2
91177,160,2017-03-09 08:00:00,1,Upper East Side,11856.0,10334.0,2017,3,9,8,0,2
91644,160,2017-03-09 12:00:00,1,Upper East Side,8579.0,9000.0,2017,3,9,12,0,2
92111,160,2017-03-09 16:00:00,1,Upper East Side,15321.0,12494.0,2017,3,9,16,0,2
92578,160,2017-03-09 20:00:00,1,Upper East Side,9279.0,8984.0,2017,3,9,20,0,2
93039,160,2017-03-10 00:00:00,1,Upper East Side,2238.0,1913.0,2017,3,10,0,0,2
93478,160,2017-03-10 04:00:00,1,Upper East Side,57.0,51.0,2017,3,10,4,0,2
93929,160,2017-03-10 08:00:00,1,Upper East Side,10353.0,10443.0,2017,3,10,8,0,2
94396,160,2017-03-10 12:00:00,1,Upper East Side,8435.0,9492.0,2017,3,10,12,0,2
94863,160,2017-03-10 16:00:00,1,Upper East Side,14968.0,12748.0,2017,3,10,16,0,2
95330,160,2017-03-10 20:00:00,1,Upper East Side,9577.0,7507.0,2017,3,10,20,0,2
95797,160,2017-03-11 00:00:00,1,Upper East Side,2568.0,1773.0,2017,3,11,0,0,2
96259,160,2017-03-11 04:00:00,1,Upper East Side,93.0,50.0,2017,3,11,4,0,2
