index,Unique ID,Datetime,Structure,Neighborhood,Entries,Exits,Year,Month,Day,Hour,isHoliday,Neighborhood Size
156,357,2017-02-04 04:00:00,2,Riverdale/Fieldston,541.0,185.0,2017,2,4,4,0,1
564,357,2017-02-04 08:00:00,2,Riverdale/Fieldston,1249.0,282.0,2017,2,4,8,0,1
1026,357,2017-02-04 12:00:00,2,Riverdale/Fieldston,1508.0,473.0,2017,2,4,12,0,1
1487,357,2017-02-04 16:00:00,2,Riverdale/Fieldston,1285.0,636.0,2017,2,4,16,0,1
1951,357,2017-02-04 20:00:00,2,Riverdale/Fieldston,823.0,589.0,2017,2,4,20,0,1
2414,357,2017-02-05 00:00:00,2,Riverdale/Fieldston,267.0,309.0,2017,2,5,0,0,1
2876,357,2017-02-05 04:00:00,2,Riverdale/Fieldston,285.0,157.0,2017,2,5,4,0,1
3338,357,2017-02-05 08:00:00,2,Riverdale/Fieldston,800.0,187.0,2017,2,5,8,0,1
3801,357,2017-02-05 12:00:00,2,Riverdale/Fieldston,1031.0,309.0,2017,2,5,12,0,1
4263,357,2017-02-05 16:00:00,2,Riverdale/Fieldston,958.0,533.0,2017,2,5,16,0,1
4726,357,2017-02-05 20:00:00,2,Riverdale/Fieldston,703.0,559.0,2017,2,5,20,0,1
5176,357,2017-02-06 00:00:00,2,Riverdale/Fieldston,68.0,223.0,2017,2,6,0,0,1
5619,357,2017-02-06 04:00:00,2,Riverdale/Fieldston,1392.0,235.0,2017,2,6,4,0,1
6080,357,2017-02-06 08:00:00,2,Riverdale/Fieldston,2782.0,914.0,2017,2,6,8,0,1
6546,357,2017-02-06 12:00:00,2,Riverdale/Fieldston,2519.0,1117.0,2017,2,6,12,0,1
7012,357,2017-02-06 16:00:00,2,Riverdale/Fieldston,2424.0,1517.0,2017,2,6,16,0,1
7478,357,2017-02-06 20:00:00,2,Riverdale/Fieldston,1518.0,1401.0,2017,2,6,20,0,1
7919,357,2017-02-07 00:00:00,2,Riverdale/Fieldston,208.0,363.0,2017,2,7,0,0,1
8353,357,2017-02-07 04:00:00,2,Riverdale/Fieldston,1384.0,320.0,2017,2,7,4,0,1
8814,357,2017-02-07 08:00:00,2,Riverdale/Fieldston,2792.0,882.0,2017,2,7,8,0,1
9280,357,2017-02-07 12:00:00,2,Riverdale/Fieldston,2433.0,1133.0,2017,2,7,12,0,1
9746,357,2017-02-07 16:00:00,2,Riverdale/Fieldston,2364.0,1541.0,2017,2,7,16,0,1
10212,357,2017-02-07 20:00:00,2,Riverdale/Fieldston,1557.0,1276.0,2017,2,7,20,0,1
10655,357,2017-02-08 00:00:00,2,Riverdale/Fieldston,178.0,366.0,2017,2,8,0,0,1
11094,357,2017-02-08 04:00:00,2,Riverdale/Fieldston,1408.0,320.0,2017,2,8,4,0,1
11555,357,2017-02-08 08:00:00,2,Riverdale/Fieldston,2962.0,928.0,2017,2,8,8,0,1
12021,357,2017-02-08 12:00:00,2,Riverdale/Fieldston,2658.0,1168.0,2017,2,8,12,0,1
12487,357,2017-02-08 16:00:00,2,Riverdale/Fieldston,2528.0,1613.0,2017,2,8,16,0,1
12953,357,2017-02-08 20:00:00,2,Riverdale/Fieldston,1626.0,1419.0,2017,2,8,20,0,1
13413,357,2017-02-09 00:00:00,2,Riverdale/Fieldston,324.0,383.0,2017,2,9,0,0,1
13869,357,2017-02-09 04:00:00,2,Riverdale/Fieldston,836.0,243.0,2017,2,9,4,0,1
14334,357,2017-02-09 08:00:00,2,Riverdale/Fieldston,1493.0,359.0,2017,2,9,8,0,1
14800,357,2017-02-09 12:00:00,2,Riverdale/Fieldston,998.0,481.0,2017,2,9,12,0,1
15266,357,2017-02-09 16:00:00,2,Riverdale/Fieldston,848.0,668.0,2017,2,9,16,0,1
15732,357,2017-02-09 20:00:00,2,Riverdale/Fieldston,607.0,584.0,2017,2,9,20,0,1
16170,357,2017-02-10 00:00:00,2,Riverdale/Fieldston,28.0,145.0,2017,2,10,0,0,1
16607,357,2017-02-10 04:00:00,2,Riverdale/Fieldston,1332.0,292.0,2017,2,10,4,0,1
17066,357,2017-02-10 08:00:00,2,Riverdale/Fieldston,2658.0,724.0,2017,2,10,8,0,1
17532,357,2017-02-10 12:00:00,2,Riverdale/Fieldston,2554.0,910.0,2017,2,10,12,0,1
17998,357,2017-02-10 16:00:00,2,Riverdale/Fieldston,2380.0,1219.0,2017,2,10,16,0,1
18464,357,2017-02-10 20:00:00,2,Riverdale/Fieldston,1289.0,1063.0,2017,2,10,20,0,1
18930,357,2017-02-11 00:00:00,2,Riverdale/Fieldston,288.0,401.0,2017,2,11,0,0,1
19391,357,2017-02-11 04:00:00,2,Riverdale/Fieldston,519.0,226.0,2017,2,11,4,0,1
19855,357,2017-02-11 08:00:00,2,Riverdale/Fieldston,1329.0,374.0,2017,2,11,8,0,1
20316,357,2017-02-11 12:00:00,2,Riverdale/Fieldston,1589.0,519.0,2017,2,11,12,0,1
20780,357,2017-02-11 16:00:00,2,Riverdale/Fieldston,1400.0,677.0,2017,2,11,16,0,1
21243,357,2017-02-11 20:00:00,2,Riverdale/Fieldston,844.0,707.0,2017,2,11,20,0,1
21707,357,2017-02-12 00:00:00,2,Riverdale/Fieldston,277.0,358.0,2017,2,12,0,0,1
22171,357,2017-02-12 04:00:00,2,Riverdale/Fieldston,309.0,205.0,2017,2,12,4,0,1
22632,357,2017-02-12 08:00:00,2,Riverdale/Fieldston,823.0,235.0,2017,2,12,8,0,1
23093,357,2017-02-12 12:00:00,2,Riverdale/Fieldston,1043.0,360.0,2017,2,12,12,0,1
23555,357,2017-02-12 16:00:00,2,Riverdale/Fieldston,910.0,508.0,2017,2,12,16,0,1
24016,357,2017-02-12 20:00:00,2,Riverdale/Fieldston,633.0,509.0,2017,2,12,20,0,1
24458,357,2017-02-13 00:00:00,2,Riverdale/Fieldston,52.0,251.0,2017,2,13,0,0,1
24898,357,2017-02-13 04:00:00,2,Riverdale/Fieldston,1352.0,279.0,2017,2,13,4,0,1
25360,357,2017-02-13 08:00:00,2,Riverdale/Fieldston,2648.0,730.0,2017,2,13,8,0,1
25826,357,2017-02-13 12:00:00,2,Riverdale/Fieldston,2133.0,883.0,2017,2,13,12,0,1
26292,357,2017-02-13 16:00:00,2,Riverdale/Fieldston,1997.0,1313.0,2017,2,13,16,0,1
26758,357,2017-02-13 20:00:00,2,Riverdale/Fieldston,1230.0,1150.0,2017,2,13,20,0,1
27200,357,2017-02-14 00:00:00,2,Riverdale/Fieldston,86.0,221.0,2017,2,14,0,0,1
27638,357,2017-02-14 04:00:00,2,Riverdale/Fieldston,1384.0,319.0,2017,2,14,4,0,1
28101,357,2017-02-14 08:00:00,2,Riverdale/Fieldston,2851.0,926.0,2017,2,14,8,0,1
28567,357,2017-02-14 12:00:00,2,Riverdale/Fieldston,2487.0,1143.0,2017,2,14,12,0,1
29033,357,2017-02-14 16:00:00,2,Riverdale/Fieldston,2539.0,1466.0,2017,2,14,16,0,1
29499,357,2017-02-14 20:00:00,2,Riverdale/Fieldston,1731.0,1298.0,2017,2,14,20,0,1
29939,357,2017-02-15 00:00:00,2,Riverdale/Fieldston,192.0,395.0,2017,2,15,0,0,1
30382,357,2017-02-15 04:00:00,2,Riverdale/Fieldston,1370.0,305.0,2017,2,15,4,0,1
30845,357,2017-02-15 08:00:00,2,Riverdale/Fieldston,2840.0,916.0,2017,2,15,8,0,1
31311,357,2017-02-15 12:00:00,2,Riverdale/Fieldston,2553.0,1120.0,2017,2,15,12,0,1
31777,357,2017-02-15 16:00:00,2,Riverdale/Fieldston,2446.0,1538.0,2017,2,15,16,0,1
32243,357,2017-02-15 20:00:00,2,Riverdale/Fieldston,1524.0,1377.0,2017,2,15,20,0,1
