index,Unique ID,Datetime,Structure,Neighborhood,Entries,Exits,Year,Month,Day,Hour,isHoliday,Neighborhood Size
202,454,2017-02-04 04:00:00,2,Williamsbridge/Baychester,374.0,292.0,2017,2,4,4,0,0
655,454,2017-02-04 08:00:00,2,Williamsbridge/Baychester,712.0,451.0,2017,2,4,8,0,0
1118,454,2017-02-04 12:00:00,2,Williamsbridge/Baychester,809.0,729.0,2017,2,4,12,0,0
1581,454,2017-02-04 16:00:00,2,Williamsbridge/Baychester,803.0,904.0,2017,2,4,16,0,0
2046,454,2017-02-04 20:00:00,2,Williamsbridge/Baychester,641.0,864.0,2017,2,4,20,0,0
2508,454,2017-02-05 00:00:00,2,Williamsbridge/Baychester,233.0,513.0,2017,2,5,0,0,0
2971,454,2017-02-05 04:00:00,2,Williamsbridge/Baychester,197.0,191.0,2017,2,5,4,0,0
3432,454,2017-02-05 08:00:00,2,Williamsbridge/Baychester,543.0,329.0,2017,2,5,8,0,0
3896,454,2017-02-05 12:00:00,2,Williamsbridge/Baychester,653.0,521.0,2017,2,5,12,0,0
4357,454,2017-02-05 16:00:00,2,Williamsbridge/Baychester,607.0,733.0,2017,2,5,16,0,0
4821,454,2017-02-05 20:00:00,2,Williamsbridge/Baychester,524.0,742.0,2017,2,5,20,0,0
5266,454,2017-02-06 00:00:00,2,Williamsbridge/Baychester,76.0,320.0,2017,2,6,0,0,0
5709,454,2017-02-06 04:00:00,2,Williamsbridge/Baychester,1047.0,350.0,2017,2,6,4,0,0
6175,454,2017-02-06 08:00:00,2,Williamsbridge/Baychester,1681.0,702.0,2017,2,6,8,0,0
6641,454,2017-02-06 12:00:00,2,Williamsbridge/Baychester,912.0,730.0,2017,2,6,12,0,0
7107,454,2017-02-06 16:00:00,2,Williamsbridge/Baychester,1002.0,1594.0,2017,2,6,16,0,0
7573,454,2017-02-06 20:00:00,2,Williamsbridge/Baychester,789.0,1693.0,2017,2,6,20,0,0
8004,454,2017-02-07 00:00:00,2,Williamsbridge/Baychester,77.0,411.0,2017,2,7,0,0,0
8443,454,2017-02-07 04:00:00,2,Williamsbridge/Baychester,1037.0,339.0,2017,2,7,4,0,0
8909,454,2017-02-07 08:00:00,2,Williamsbridge/Baychester,1682.0,665.0,2017,2,7,8,0,0
9375,454,2017-02-07 12:00:00,2,Williamsbridge/Baychester,908.0,785.0,2017,2,7,12,0,0
9841,454,2017-02-07 16:00:00,2,Williamsbridge/Baychester,970.0,1626.0,2017,2,7,16,0,0
10307,454,2017-02-07 20:00:00,2,Williamsbridge/Baychester,797.0,1640.0,2017,2,7,20,0,0
10744,454,2017-02-08 00:00:00,2,Williamsbridge/Baychester,72.0,485.0,2017,2,8,0,0,0
11184,454,2017-02-08 04:00:00,2,Williamsbridge/Baychester,1076.0,374.0,2017,2,8,4,0,0
11650,454,2017-02-08 08:00:00,2,Williamsbridge/Baychester,1775.0,689.0,2017,2,8,8,0,0
12116,454,2017-02-08 12:00:00,2,Williamsbridge/Baychester,1010.0,836.0,2017,2,8,12,0,0
12582,454,2017-02-08 16:00:00,2,Williamsbridge/Baychester,1100.0,1734.0,2017,2,8,16,0,0
13048,454,2017-02-08 20:00:00,2,Williamsbridge/Baychester,863.0,1758.0,2017,2,8,20,0,0
