index,Unique ID,Datetime,Structure,Neighborhood,Entries,Exits,Year,Month,Day,Hour,isHoliday,Neighborhood Size
642,441,2017-02-04 08:00:00,1,Clinton/Chelsea,347.0,1128.0,2017,2,4,8,0,2
1105,441,2017-02-04 12:00:00,1,Clinton/Chelsea,880.0,1762.0,2017,2,4,12,0,2
1568,441,2017-02-04 16:00:00,1,Clinton/Chelsea,1704.0,2102.0,2017,2,4,16,0,2
2033,441,2017-02-04 20:00:00,1,Clinton/Chelsea,1276.0,1275.0,2017,2,4,20,0,2
2495,441,2017-02-05 00:00:00,1,Clinton/Chelsea,526.0,406.0,2017,2,5,0,0,2
2958,441,2017-02-05 04:00:00,1,Clinton/Chelsea,124.0,102.0,2017,2,5,4,0,2
3419,441,2017-02-05 08:00:00,1,Clinton/Chelsea,218.0,553.0,2017,2,5,8,0,2
3883,441,2017-02-05 12:00:00,1,Clinton/Chelsea,582.0,1349.0,2017,2,5,12,0,2
4344,441,2017-02-05 16:00:00,1,Clinton/Chelsea,1263.0,1683.0,2017,2,5,16,0,2
4808,441,2017-02-05 20:00:00,1,Clinton/Chelsea,868.0,711.0,2017,2,5,20,0,2
5253,441,2017-02-06 00:00:00,1,Clinton/Chelsea,342.0,248.0,2017,2,6,0,0,2
5697,441,2017-02-06 04:00:00,1,Clinton/Chelsea,78.0,14.0,2017,2,6,4,0,2
6162,441,2017-02-06 08:00:00,1,Clinton/Chelsea,1611.0,6129.0,2017,2,6,8,0,2
6628,441,2017-02-06 12:00:00,1,Clinton/Chelsea,1434.0,3390.0,2017,2,6,12,0,2
7094,441,2017-02-06 16:00:00,1,Clinton/Chelsea,6698.0,2805.0,2017,2,6,16,0,2
7560,441,2017-02-06 20:00:00,1,Clinton/Chelsea,4052.0,1384.0,2017,2,6,20,0,2
7992,441,2017-02-07 00:00:00,1,Clinton/Chelsea,701.0,291.0,2017,2,7,0,0,2
8896,441,2017-02-07 08:00:00,1,Clinton/Chelsea,1602.0,6440.0,2017,2,7,8,0,2
9362,441,2017-02-07 12:00:00,1,Clinton/Chelsea,1419.0,3420.0,2017,2,7,12,0,2
9828,441,2017-02-07 16:00:00,1,Clinton/Chelsea,6688.0,3060.0,2017,2,7,16,0,2
10294,441,2017-02-07 20:00:00,1,Clinton/Chelsea,4330.0,1471.0,2017,2,7,20,0,2
10731,441,2017-02-08 00:00:00,1,Clinton/Chelsea,784.0,263.0,2017,2,8,0,0,2
11637,441,2017-02-08 08:00:00,1,Clinton/Chelsea,1761.0,6464.0,2017,2,8,8,0,2
12103,441,2017-02-08 12:00:00,1,Clinton/Chelsea,1570.0,3684.0,2017,2,8,12,0,2
12569,441,2017-02-08 16:00:00,1,Clinton/Chelsea,5302.0,2767.0,2017,2,8,16,0,2
13035,441,2017-02-08 20:00:00,1,Clinton/Chelsea,4283.0,1705.0,2017,2,8,20,0,2
13493,441,2017-02-09 00:00:00,1,Clinton/Chelsea,851.0,364.0,2017,2,9,0,0,2
13951,441,2017-02-09 04:00:00,1,Clinton/Chelsea,206.0,95.0,2017,2,9,4,0,2
14416,441,2017-02-09 08:00:00,1,Clinton/Chelsea,626.0,3158.0,2017,2,9,8,0,2
14882,441,2017-02-09 12:00:00,1,Clinton/Chelsea,977.0,1941.0,2017,2,9,12,0,2
15348,441,2017-02-09 16:00:00,1,Clinton/Chelsea,3503.0,1405.0,2017,2,9,16,0,2
15814,441,2017-02-09 20:00:00,1,Clinton/Chelsea,2173.0,708.0,2017,2,9,20,0,2
16242,441,2017-02-10 00:00:00,1,Clinton/Chelsea,467.0,238.0,2017,2,10,0,0,2
17148,441,2017-02-10 08:00:00,1,Clinton/Chelsea,1457.0,6334.0,2017,2,10,8,0,2
17614,441,2017-02-10 12:00:00,1,Clinton/Chelsea,1708.0,3646.0,2017,2,10,12,0,2
18080,441,2017-02-10 16:00:00,1,Clinton/Chelsea,6478.0,3254.0,2017,2,10,16,0,2
18546,441,2017-02-10 20:00:00,1,Clinton/Chelsea,3638.0,1778.0,2017,2,10,20,0,2
19012,441,2017-02-11 00:00:00,1,Clinton/Chelsea,761.0,386.0,2017,2,11,0,0,2
19473,441,2017-02-11 04:00:00,1,Clinton/Chelsea,207.0,111.0,2017,2,11,4,0,2
19937,441,2017-02-11 08:00:00,1,Clinton/Chelsea,368.0,1194.0,2017,2,11,8,0,2
20397,441,2017-02-11 12:00:00,1,Clinton/Chelsea,939.0,2233.0,2017,2,11,12,0,2
20862,441,2017-02-11 16:00:00,1,Clinton/Chelsea,1909.0,2498.0,2017,2,11,16,0,2
21324,441,2017-02-11 20:00:00,1,Clinton/Chelsea,1424.0,1633.0,2017,2,11,20,0,2
21788,441,2017-02-12 00:00:00,1,Clinton/Chelsea,593.0,633.0,2017,2,12,0,0,2
22253,441,2017-02-12 04:00:00,1,Clinton/Chelsea,160.0,115.0,2017,2,12,4,0,2
22713,441,2017-02-12 08:00:00,1,Clinton/Chelsea,227.0,672.0,2017,2,12,8,0,2
23175,441,2017-02-12 12:00:00,1,Clinton/Chelsea,585.0,1285.0,2017,2,12,12,0,2
23636,441,2017-02-12 16:00:00,1,Clinton/Chelsea,1133.0,1348.0,2017,2,12,16,0,2
24098,441,2017-02-12 20:00:00,1,Clinton/Chelsea,854.0,716.0,2017,2,12,20,0,2
24534,441,2017-02-13 00:00:00,1,Clinton/Chelsea,319.0,263.0,2017,2,13,0,0,2
25442,441,2017-02-13 08:00:00,1,Clinton/Chelsea,1608.0,6300.0,2017,2,13,8,0,2
25908,441,2017-02-13 12:00:00,1,Clinton/Chelsea,1476.0,3380.0,2017,2,13,12,0,2
26374,441,2017-02-13 16:00:00,1,Clinton/Chelsea,6534.0,2888.0,2017,2,13,16,0,2
26840,441,2017-02-13 20:00:00,1,Clinton/Chelsea,4081.0,1524.0,2017,2,13,20,0,2
27275,441,2017-02-14 00:00:00,1,Clinton/Chelsea,716.0,309.0,2017,2,14,0,0,2
27718,441,2017-02-14 04:00:00,1,Clinton/Chelsea,149.0,46.0,2017,2,14,4,0,2
28183,441,2017-02-14 08:00:00,1,Clinton/Chelsea,1489.0,6014.0,2017,2,14,8,0,2
28649,441,2017-02-14 12:00:00,1,Clinton/Chelsea,1593.0,3844.0,2017,2,14,12,0,2
29115,441,2017-02-14 16:00:00,1,Clinton/Chelsea,6998.0,3448.0,2017,2,14,16,0,2
29581,441,2017-02-14 20:00:00,1,Clinton/Chelsea,4006.0,1611.0,2017,2,14,20,0,2
30016,441,2017-02-15 00:00:00,1,Clinton/Chelsea,736.0,296.0,2017,2,15,0,0,2
30927,441,2017-02-15 08:00:00,1,Clinton/Chelsea,1755.0,6409.0,2017,2,15,8,0,2
31393,441,2017-02-15 12:00:00,1,Clinton/Chelsea,1513.0,3685.0,2017,2,15,12,0,2
31859,441,2017-02-15 16:00:00,1,Clinton/Chelsea,6774.0,3152.0,2017,2,15,16,0,2
32325,441,2017-02-15 20:00:00,1,Clinton/Chelsea,4237.0,1737.0,2017,2,15,20,0,2
32764,441,2017-02-16 00:00:00,1,Clinton/Chelsea,813.0,360.0,2017,2,16,0,0,2
33670,441,2017-02-16 08:00:00,1,Clinton/Chelsea,1660.0,6330.0,2017,2,16,8,0,2
34136,441,2017-02-16 12:00:00,1,Clinton/Chelsea,1519.0,3516.0,2017,2,16,12,0,2
34602,441,2017-02-16 16:00:00,1,Clinton/Chelsea,6403.0,3087.0,2017,2,16,16,0,2
35068,441,2017-02-16 20:00:00,1,Clinton/Chelsea,4073.0,1538.0,2017,2,16,20,0,2
35512,441,2017-02-17 00:00:00,1,Clinton/Chelsea,836.0,335.0,2017,2,17,0,0,2
35956,441,2017-02-17 04:00:00,1,Clinton/Chelsea,2.0,4.0,2017,2,17,4,0,2
36421,441,2017-02-17 08:00:00,1,Clinton/Chelsea,1522.0,5845.0,2017,2,17,8,0,2
36887,441,2017-02-17 12:00:00,1,Clinton/Chelsea,1682.0,3584.0,2017,2,17,12,0,2
37353,441,2017-02-17 16:00:00,1,Clinton/Chelsea,6303.0,3223.0,2017,2,17,16,0,2
37819,441,2017-02-17 20:00:00,1,Clinton/Chelsea,3543.0,1877.0,2017,2,17,20,0,2
38285,441,2017-02-18 00:00:00,1,Clinton/Chelsea,788.0,468.0,2017,2,18,0,0,2
38742,441,2017-02-18 04:00:00,1,Clinton/Chelsea,212.0,113.0,2017,2,18,4,0,2
39206,441,2017-02-18 08:00:00,1,Clinton/Chelsea,328.0,959.0,2017,2,18,8,0,2
39658,441,2017-02-18 12:00:00,1,Clinton/Chelsea,920.0,1724.0,2017,2,18,12,0,2
40118,441,2017-02-18 16:00:00,1,Clinton/Chelsea,1611.0,2232.0,2017,2,18,16,0,2
40578,441,2017-02-18 20:00:00,1,Clinton/Chelsea,1353.0,1582.0,2017,2,18,20,0,2
41042,441,2017-02-19 00:00:00,1,Clinton/Chelsea,592.0,478.0,2017,2,19,0,0,2
41503,441,2017-02-19 04:00:00,1,Clinton/Chelsea,149.0,102.0,2017,2,19,4,0,2
41967,441,2017-02-19 08:00:00,1,Clinton/Chelsea,235.0,460.0,2017,2,19,8,0,2
42426,441,2017-02-19 12:00:00,1,Clinton/Chelsea,603.0,1582.0,2017,2,19,12,0,2
42884,441,2017-02-19 16:00:00,1,Clinton/Chelsea,1290.0,1946.0,2017,2,19,16,0,2
43346,441,2017-02-19 20:00:00,1,Clinton/Chelsea,976.0,1148.0,2017,2,19,20,0,2
43804,441,2017-02-20 00:00:00,1,Clinton/Chelsea,377.0,492.0,2017,2,20,0,1,2
44266,441,2017-02-20 04:00:00,1,Clinton/Chelsea,90.0,107.0,2017,2,20,4,1,2
44727,441,2017-02-20 08:00:00,1,Clinton/Chelsea,684.0,2332.0,2017,2,20,8,1,2
45189,441,2017-02-20 12:00:00,1,Clinton/Chelsea,1004.0,2081.0,2017,2,20,12,1,2
45647,441,2017-02-20 16:00:00,1,Clinton/Chelsea,3058.0,2141.0,2017,2,20,16,1,2
46109,441,2017-02-20 20:00:00,1,Clinton/Chelsea,2162.0,970.0,2017,2,20,20,1,2
46553,441,2017-02-21 00:00:00,1,Clinton/Chelsea,526.0,263.0,2017,2,21,0,0,2
47458,441,2017-02-21 08:00:00,1,Clinton/Chelsea,1570.0,6136.0,2017,2,21,8,0,2
47924,441,2017-02-21 12:00:00,1,Clinton/Chelsea,1421.0,3575.0,2017,2,21,12,0,2
48390,441,2017-02-21 16:00:00,1,Clinton/Chelsea,6539.0,3131.0,2017,2,21,16,0,2
48856,441,2017-02-21 20:00:00,1,Clinton/Chelsea,4108.0,1421.0,2017,2,21,20,0,2
49309,441,2017-02-22 00:00:00,1,Clinton/Chelsea,744.0,265.0,2017,2,22,0,0,2
50218,441,2017-02-22 08:00:00,1,Clinton/Chelsea,1667.0,6246.0,2017,2,22,8,0,2
50684,441,2017-02-22 12:00:00,1,Clinton/Chelsea,1457.0,3775.0,2017,2,22,12,0,2
51150,441,2017-02-22 16:00:00,1,Clinton/Chelsea,6507.0,3368.0,2017,2,22,16,0,2
51616,441,2017-02-22 20:00:00,1,Clinton/Chelsea,4217.0,1675.0,2017,2,22,20,0,2
52068,441,2017-02-23 00:00:00,1,Clinton/Chelsea,791.0,311.0,2017,2,23,0,0,2
52977,441,2017-02-23 08:00:00,1,Clinton/Chelsea,1699.0,6122.0,2017,2,23,8,0,2
53443,441,2017-02-23 12:00:00,1,Clinton/Chelsea,1488.0,3608.0,2017,2,23,12,0,2
53909,441,2017-02-23 16:00:00,1,Clinton/Chelsea,6358.0,3681.0,2017,2,23,16,0,2
54375,441,2017-02-23 20:00:00,1,Clinton/Chelsea,4159.0,1893.0,2017,2,23,20,0,2
54832,441,2017-02-24 00:00:00,1,Clinton/Chelsea,881.0,383.0,2017,2,24,0,0,2
55279,441,2017-02-24 04:00:00,1,Clinton/Chelsea,16.0,6.0,2017,2,24,4,0,2
55744,441,2017-02-24 08:00:00,1,Clinton/Chelsea,1588.0,5909.0,2017,2,24,8,0,2
56210,441,2017-02-24 12:00:00,1,Clinton/Chelsea,1666.0,3717.0,2017,2,24,12,0,2
56676,441,2017-02-24 16:00:00,1,Clinton/Chelsea,5982.0,3776.0,2017,2,24,16,0,2
57142,441,2017-02-24 20:00:00,1,Clinton/Chelsea,3571.0,2067.0,2017,2,24,20,0,2
57608,441,2017-02-25 00:00:00,1,Clinton/Chelsea,846.0,479.0,2017,2,25,0,0,2
58060,441,2017-02-25 04:00:00,1,Clinton/Chelsea,189.0,107.0,2017,2,25,4,0,2
58523,441,2017-02-25 08:00:00,1,Clinton/Chelsea,417.0,907.0,2017,2,25,8,0,2
