index,Unique ID,Datetime,Structure,Neighborhood,Entries,Exits,Year,Month,Day,Hour,isHoliday,Neighborhood Size
453,245,2017-02-04 08:00:00,1,Park Slope/Carroll Gardens,717.0,471.0,2017,2,4,8,0,2
915,245,2017-02-04 12:00:00,1,Park Slope/Carroll Gardens,1493.0,710.0,2017,2,4,12,0,2
1376,245,2017-02-04 16:00:00,1,Park Slope/Carroll Gardens,1966.0,948.0,2017,2,4,16,0,2
1840,245,2017-02-04 20:00:00,1,Park Slope/Carroll Gardens,1253.0,695.0,2017,2,4,20,0,2
2303,245,2017-02-05 00:00:00,1,Park Slope/Carroll Gardens,493.0,325.0,2017,2,5,0,0,2
2766,245,2017-02-05 04:00:00,1,Park Slope/Carroll Gardens,35.0,70.0,2017,2,5,4,0,2
3227,245,2017-02-05 08:00:00,1,Park Slope/Carroll Gardens,484.0,234.0,2017,2,5,8,0,2
3691,245,2017-02-05 12:00:00,1,Park Slope/Carroll Gardens,1207.0,583.0,2017,2,5,12,0,2
4152,245,2017-02-05 16:00:00,1,Park Slope/Carroll Gardens,1484.0,919.0,2017,2,5,16,0,2
4616,245,2017-02-05 20:00:00,1,Park Slope/Carroll Gardens,850.0,433.0,2017,2,5,20,0,2
5068,245,2017-02-06 00:00:00,1,Park Slope/Carroll Gardens,370.0,172.0,2017,2,6,0,0,2
5515,245,2017-02-06 04:00:00,1,Park Slope/Carroll Gardens,1.0,0.0,2017,2,6,4,0,2
5969,245,2017-02-06 08:00:00,1,Park Slope/Carroll Gardens,4991.0,1119.0,2017,2,6,8,0,2
6435,245,2017-02-06 12:00:00,1,Park Slope/Carroll Gardens,2133.0,686.0,2017,2,6,12,0,2
6901,245,2017-02-06 16:00:00,1,Park Slope/Carroll Gardens,3118.0,1459.0,2017,2,6,16,0,2
7367,245,2017-02-06 20:00:00,1,Park Slope/Carroll Gardens,1653.0,1252.0,2017,2,6,20,0,2
7816,245,2017-02-07 00:00:00,1,Park Slope/Carroll Gardens,288.0,265.0,2017,2,7,0,0,2
8703,245,2017-02-07 08:00:00,1,Park Slope/Carroll Gardens,5126.0,1258.0,2017,2,7,8,0,2
9169,245,2017-02-07 12:00:00,1,Park Slope/Carroll Gardens,2321.0,822.0,2017,2,7,12,0,2
9635,245,2017-02-07 16:00:00,1,Park Slope/Carroll Gardens,3180.0,1431.0,2017,2,7,16,0,2
10101,245,2017-02-07 20:00:00,1,Park Slope/Carroll Gardens,1705.0,1216.0,2017,2,7,20,0,2
10550,245,2017-02-08 00:00:00,1,Park Slope/Carroll Gardens,313.0,299.0,2017,2,8,0,0,2
10990,245,2017-02-08 04:00:00,1,Park Slope/Carroll Gardens,5.0,0.0,2017,2,8,4,0,2
11444,245,2017-02-08 08:00:00,1,Park Slope/Carroll Gardens,5012.0,1208.0,2017,2,8,8,0,2
11910,245,2017-02-08 12:00:00,1,Park Slope/Carroll Gardens,2460.0,814.0,2017,2,8,12,0,2
12376,245,2017-02-08 16:00:00,1,Park Slope/Carroll Gardens,3158.0,1391.0,2017,2,8,16,0,2
12842,245,2017-02-08 20:00:00,1,Park Slope/Carroll Gardens,1817.0,1298.0,2017,2,8,20,0,2
13304,245,2017-02-09 00:00:00,1,Park Slope/Carroll Gardens,322.0,306.0,2017,2,9,0,0,2
13760,245,2017-02-09 04:00:00,1,Park Slope/Carroll Gardens,28.0,15.0,2017,2,9,4,0,2
14223,245,2017-02-09 08:00:00,1,Park Slope/Carroll Gardens,2392.0,580.0,2017,2,9,8,0,2
14689,245,2017-02-09 12:00:00,1,Park Slope/Carroll Gardens,1331.0,517.0,2017,2,9,12,0,2
15155,245,2017-02-09 16:00:00,1,Park Slope/Carroll Gardens,1609.0,896.0,2017,2,9,16,0,2
15621,245,2017-02-09 20:00:00,1,Park Slope/Carroll Gardens,948.0,755.0,2017,2,9,20,0,2
16066,245,2017-02-10 00:00:00,1,Park Slope/Carroll Gardens,301.0,215.0,2017,2,10,0,0,2
16955,245,2017-02-10 08:00:00,1,Park Slope/Carroll Gardens,5025.0,1275.0,2017,2,10,8,0,2
17421,245,2017-02-10 12:00:00,1,Park Slope/Carroll Gardens,2541.0,883.0,2017,2,10,12,0,2
17887,245,2017-02-10 16:00:00,1,Park Slope/Carroll Gardens,3147.0,1462.0,2017,2,10,16,0,2
18353,245,2017-02-10 20:00:00,1,Park Slope/Carroll Gardens,1970.0,1349.0,2017,2,10,20,0,2
18819,245,2017-02-11 00:00:00,1,Park Slope/Carroll Gardens,491.0,402.0,2017,2,11,0,0,2
19281,245,2017-02-11 04:00:00,1,Park Slope/Carroll Gardens,27.0,33.0,2017,2,11,4,0,2
19744,245,2017-02-11 08:00:00,1,Park Slope/Carroll Gardens,656.0,463.0,2017,2,11,8,0,2
20207,245,2017-02-11 12:00:00,1,Park Slope/Carroll Gardens,1522.0,674.0,2017,2,11,12,0,2
20669,245,2017-02-11 16:00:00,1,Park Slope/Carroll Gardens,1946.0,880.0,2017,2,11,16,0,2
21134,245,2017-02-11 20:00:00,1,Park Slope/Carroll Gardens,1260.0,673.0,2017,2,11,20,0,2
21596,245,2017-02-12 00:00:00,1,Park Slope/Carroll Gardens,457.0,291.0,2017,2,12,0,0,2
22060,245,2017-02-12 04:00:00,1,Park Slope/Carroll Gardens,64.0,52.0,2017,2,12,4,0,2
22523,245,2017-02-12 08:00:00,1,Park Slope/Carroll Gardens,444.0,259.0,2017,2,12,8,0,2
22983,245,2017-02-12 12:00:00,1,Park Slope/Carroll Gardens,1137.0,553.0,2017,2,12,12,0,2
23446,245,2017-02-12 16:00:00,1,Park Slope/Carroll Gardens,1220.0,652.0,2017,2,12,16,0,2
23906,245,2017-02-12 20:00:00,1,Park Slope/Carroll Gardens,680.0,431.0,2017,2,12,20,0,2
24354,245,2017-02-13 00:00:00,1,Park Slope/Carroll Gardens,296.0,124.0,2017,2,13,0,0,2
25249,245,2017-02-13 08:00:00,1,Park Slope/Carroll Gardens,5024.0,1161.0,2017,2,13,8,0,2
