index,Unique ID,Datetime,Structure,Neighborhood,Entries,Exits,Year,Month,Day,Hour,isHoliday,Neighborhood Size
34,83,2017-02-04 04:00:00,1,Stuyvesant Town/Turtle Bay,339.0,376.0,2017,2,4,4,0,2
294,83,2017-02-04 08:00:00,1,Stuyvesant Town/Turtle Bay,815.0,1456.0,2017,2,4,8,0,2
753,83,2017-02-04 12:00:00,1,Stuyvesant Town/Turtle Bay,2160.0,2529.0,2017,2,4,12,0,2
1216,83,2017-02-04 16:00:00,1,Stuyvesant Town/Turtle Bay,2877.0,2950.0,2017,2,4,16,0,2
1678,83,2017-02-04 20:00:00,1,Stuyvesant Town/Turtle Bay,2396.0,2404.0,2017,2,4,20,0,2
2144,83,2017-02-05 00:00:00,1,Stuyvesant Town/Turtle Bay,1155.0,792.0,2017,2,5,0,0,2
2605,83,2017-02-05 04:00:00,1,Stuyvesant Town/Turtle Bay,309.0,214.0,2017,2,5,4,0,2
3069,83,2017-02-05 08:00:00,1,Stuyvesant Town/Turtle Bay,669.0,1128.0,2017,2,5,8,0,2
3529,83,2017-02-05 12:00:00,1,Stuyvesant Town/Turtle Bay,1645.0,2079.0,2017,2,5,12,0,2
3994,83,2017-02-05 16:00:00,1,Stuyvesant Town/Turtle Bay,2138.0,2369.0,2017,2,5,16,0,2
4454,83,2017-02-05 20:00:00,1,Stuyvesant Town/Turtle Bay,1974.0,1655.0,2017,2,5,20,0,2
4916,83,2017-02-06 00:00:00,1,Stuyvesant Town/Turtle Bay,828.0,364.0,2017,2,6,0,0,2
5359,83,2017-02-06 04:00:00,1,Stuyvesant Town/Turtle Bay,254.0,542.0,2017,2,6,4,0,2
5807,83,2017-02-06 08:00:00,1,Stuyvesant Town/Turtle Bay,2845.0,6224.0,2017,2,6,8,0,2
6273,83,2017-02-06 12:00:00,1,Stuyvesant Town/Turtle Bay,4188.0,6642.0,2017,2,6,12,0,2
6739,83,2017-02-06 16:00:00,1,Stuyvesant Town/Turtle Bay,7678.0,3780.0,2017,2,6,16,0,2
7205,83,2017-02-06 20:00:00,1,Stuyvesant Town/Turtle Bay,6677.0,3088.0,2017,2,6,20,0,2
7665,83,2017-02-07 00:00:00,1,Stuyvesant Town/Turtle Bay,709.0,253.0,2017,2,7,0,0,2
8096,83,2017-02-07 04:00:00,1,Stuyvesant Town/Turtle Bay,390.0,830.0,2017,2,7,4,0,2
8541,83,2017-02-07 08:00:00,1,Stuyvesant Town/Turtle Bay,3088.0,5948.0,2017,2,7,8,0,2
9007,83,2017-02-07 12:00:00,1,Stuyvesant Town/Turtle Bay,4337.0,6844.0,2017,2,7,12,0,2
9473,83,2017-02-07 16:00:00,1,Stuyvesant Town/Turtle Bay,8140.0,4186.0,2017,2,7,16,0,2
9939,83,2017-02-07 20:00:00,1,Stuyvesant Town/Turtle Bay,7285.0,3377.0,2017,2,7,20,0,2
10401,83,2017-02-08 00:00:00,1,Stuyvesant Town/Turtle Bay,864.0,365.0,2017,2,8,0,0,2
10837,83,2017-02-08 04:00:00,1,Stuyvesant Town/Turtle Bay,360.0,646.0,2017,2,8,4,0,2
11282,83,2017-02-08 08:00:00,1,Stuyvesant Town/Turtle Bay,3040.0,6546.0,2017,2,8,8,0,2
11748,83,2017-02-08 12:00:00,1,Stuyvesant Town/Turtle Bay,4517.0,7061.0,2017,2,8,12,0,2
12214,83,2017-02-08 16:00:00,1,Stuyvesant Town/Turtle Bay,8059.0,4221.0,2017,2,8,16,0,2
12680,83,2017-02-08 20:00:00,1,Stuyvesant Town/Turtle Bay,7276.0,3510.0,2017,2,8,20,0,2
13145,83,2017-02-09 00:00:00,1,Stuyvesant Town/Turtle Bay,1131.0,470.0,2017,2,9,0,0,2
13602,83,2017-02-09 04:00:00,1,Stuyvesant Town/Turtle Bay,322.0,728.0,2017,2,9,4,0,2
14061,83,2017-02-09 08:00:00,1,Stuyvesant Town/Turtle Bay,2082.0,4079.0,2017,2,9,8,0,2
14527,83,2017-02-09 12:00:00,1,Stuyvesant Town/Turtle Bay,3141.0,3945.0,2017,2,9,12,0,2
