index,Unique ID,Datetime,Structure,Neighborhood,Entries,Exits,Year,Month,Day,Hour,isHoliday,Neighborhood Size
1498,368,2017-02-04 16:00:00,1,Greenpoint/Williamsburg,1231.0,306.0,2017,2,4,16,0,2
1962,368,2017-02-04 20:00:00,1,Greenpoint/Williamsburg,843.0,306.0,2017,2,4,20,0,2
2425,368,2017-02-05 00:00:00,1,Greenpoint/Williamsburg,482.0,172.0,2017,2,5,0,0,2
2887,368,2017-02-05 04:00:00,1,Greenpoint/Williamsburg,136.0,37.0,2017,2,5,4,0,2
3349,368,2017-02-05 08:00:00,1,Greenpoint/Williamsburg,373.0,55.0,2017,2,5,8,0,2
3812,368,2017-02-05 12:00:00,1,Greenpoint/Williamsburg,905.0,150.0,2017,2,5,12,0,2
4274,368,2017-02-05 16:00:00,1,Greenpoint/Williamsburg,989.0,261.0,2017,2,5,16,0,2
4737,368,2017-02-05 20:00:00,1,Greenpoint/Williamsburg,834.0,255.0,2017,2,5,20,0,2
5187,368,2017-02-06 00:00:00,1,Greenpoint/Williamsburg,290.0,86.0,2017,2,6,0,0,2
5630,368,2017-02-06 04:00:00,1,Greenpoint/Williamsburg,304.0,50.0,2017,2,6,4,0,2
6091,368,2017-02-06 08:00:00,1,Greenpoint/Williamsburg,1257.0,96.0,2017,2,6,8,0,2
6557,368,2017-02-06 12:00:00,1,Greenpoint/Williamsburg,2025.0,130.0,2017,2,6,12,0,2
7023,368,2017-02-06 16:00:00,1,Greenpoint/Williamsburg,1405.0,536.0,2017,2,6,16,0,2
7489,368,2017-02-06 20:00:00,1,Greenpoint/Williamsburg,640.0,499.0,2017,2,6,20,0,2
7928,368,2017-02-07 00:00:00,1,Greenpoint/Williamsburg,131.0,110.0,2017,2,7,0,0,2
8364,368,2017-02-07 04:00:00,1,Greenpoint/Williamsburg,239.0,40.0,2017,2,7,4,0,2
8825,368,2017-02-07 08:00:00,1,Greenpoint/Williamsburg,2081.0,137.0,2017,2,7,8,0,2
9291,368,2017-02-07 12:00:00,1,Greenpoint/Williamsburg,1958.0,145.0,2017,2,7,12,0,2
9757,368,2017-02-07 16:00:00,1,Greenpoint/Williamsburg,711.0,449.0,2017,2,7,16,0,2
10223,368,2017-02-07 20:00:00,1,Greenpoint/Williamsburg,790.0,547.0,2017,2,7,20,0,2
10665,368,2017-02-08 00:00:00,1,Greenpoint/Williamsburg,194.0,158.0,2017,2,8,0,0,2
11105,368,2017-02-08 04:00:00,1,Greenpoint/Williamsburg,248.0,46.0,2017,2,8,4,0,2
11566,368,2017-02-08 08:00:00,1,Greenpoint/Williamsburg,2134.0,135.0,2017,2,8,8,0,2
12032,368,2017-02-08 12:00:00,1,Greenpoint/Williamsburg,2021.0,155.0,2017,2,8,12,0,2
12498,368,2017-02-08 16:00:00,1,Greenpoint/Williamsburg,761.0,477.0,2017,2,8,16,0,2
12964,368,2017-02-08 20:00:00,1,Greenpoint/Williamsburg,833.0,561.0,2017,2,8,20,0,2
13424,368,2017-02-09 00:00:00,1,Greenpoint/Williamsburg,228.0,161.0,2017,2,9,0,0,2
13880,368,2017-02-09 04:00:00,1,Greenpoint/Williamsburg,186.0,39.0,2017,2,9,4,0,2
14345,368,2017-02-09 08:00:00,1,Greenpoint/Williamsburg,1122.0,104.0,2017,2,9,8,0,2
14811,368,2017-02-09 12:00:00,1,Greenpoint/Williamsburg,1108.0,145.0,2017,2,9,12,0,2
15277,368,2017-02-09 16:00:00,1,Greenpoint/Williamsburg,632.0,317.0,2017,2,9,16,0,2
15743,368,2017-02-09 20:00:00,1,Greenpoint/Williamsburg,631.0,353.0,2017,2,9,20,0,2
16180,368,2017-02-10 00:00:00,1,Greenpoint/Williamsburg,161.0,111.0,2017,2,10,0,0,2
16618,368,2017-02-10 04:00:00,1,Greenpoint/Williamsburg,204.0,43.0,2017,2,10,4,0,2
17077,368,2017-02-10 08:00:00,1,Greenpoint/Williamsburg,2000.0,154.0,2017,2,10,8,0,2
17543,368,2017-02-10 12:00:00,1,Greenpoint/Williamsburg,2018.0,202.0,2017,2,10,12,0,2
18009,368,2017-02-10 16:00:00,1,Greenpoint/Williamsburg,865.0,462.0,2017,2,10,16,0,2
18475,368,2017-02-10 20:00:00,1,Greenpoint/Williamsburg,954.0,534.0,2017,2,10,20,0,2
18941,368,2017-02-11 00:00:00,1,Greenpoint/Williamsburg,468.0,204.0,2017,2,11,0,0,2
19402,368,2017-02-11 04:00:00,1,Greenpoint/Williamsburg,132.0,41.0,2017,2,11,4,0,2
19866,368,2017-02-11 08:00:00,1,Greenpoint/Williamsburg,620.0,157.0,2017,2,11,8,0,2
20327,368,2017-02-11 12:00:00,1,Greenpoint/Williamsburg,1294.0,361.0,2017,2,11,12,0,2
20791,368,2017-02-11 16:00:00,1,Greenpoint/Williamsburg,1206.0,384.0,2017,2,11,16,0,2
21254,368,2017-02-11 20:00:00,1,Greenpoint/Williamsburg,924.0,375.0,2017,2,11,20,0,2
21718,368,2017-02-12 00:00:00,1,Greenpoint/Williamsburg,590.0,238.0,2017,2,12,0,0,2
22182,368,2017-02-12 04:00:00,1,Greenpoint/Williamsburg,209.0,44.0,2017,2,12,4,0,2
22643,368,2017-02-12 08:00:00,1,Greenpoint/Williamsburg,349.0,57.0,2017,2,12,8,0,2
23104,368,2017-02-12 12:00:00,1,Greenpoint/Williamsburg,951.0,239.0,2017,2,12,12,0,2
23566,368,2017-02-12 16:00:00,1,Greenpoint/Williamsburg,1025.0,330.0,2017,2,12,16,0,2
24027,368,2017-02-12 20:00:00,1,Greenpoint/Williamsburg,591.0,259.0,2017,2,12,20,0,2
24469,368,2017-02-13 00:00:00,1,Greenpoint/Williamsburg,146.0,109.0,2017,2,13,0,0,2
24909,368,2017-02-13 04:00:00,1,Greenpoint/Williamsburg,231.0,48.0,2017,2,13,4,0,2
25371,368,2017-02-13 08:00:00,1,Greenpoint/Williamsburg,2020.0,155.0,2017,2,13,8,0,2
25837,368,2017-02-13 12:00:00,1,Greenpoint/Williamsburg,1946.0,164.0,2017,2,13,12,0,2
26303,368,2017-02-13 16:00:00,1,Greenpoint/Williamsburg,769.0,449.0,2017,2,13,16,0,2
26769,368,2017-02-13 20:00:00,1,Greenpoint/Williamsburg,793.0,512.0,2017,2,13,20,0,2
27211,368,2017-02-14 00:00:00,1,Greenpoint/Williamsburg,183.0,118.0,2017,2,14,0,0,2
27649,368,2017-02-14 04:00:00,1,Greenpoint/Williamsburg,258.0,58.0,2017,2,14,4,0,2
28112,368,2017-02-14 08:00:00,1,Greenpoint/Williamsburg,2144.0,132.0,2017,2,14,8,0,2
28578,368,2017-02-14 12:00:00,1,Greenpoint/Williamsburg,1994.0,148.0,2017,2,14,12,0,2
29044,368,2017-02-14 16:00:00,1,Greenpoint/Williamsburg,800.0,500.0,2017,2,14,16,0,2
29510,368,2017-02-14 20:00:00,1,Greenpoint/Williamsburg,881.0,556.0,2017,2,14,20,0,2
29950,368,2017-02-15 00:00:00,1,Greenpoint/Williamsburg,212.0,138.0,2017,2,15,0,0,2
30393,368,2017-02-15 04:00:00,1,Greenpoint/Williamsburg,251.0,63.0,2017,2,15,4,0,2
30856,368,2017-02-15 08:00:00,1,Greenpoint/Williamsburg,2106.0,148.0,2017,2,15,8,0,2
31322,368,2017-02-15 12:00:00,1,Greenpoint/Williamsburg,2036.0,168.0,2017,2,15,12,0,2
31788,368,2017-02-15 16:00:00,1,Greenpoint/Williamsburg,777.0,422.0,2017,2,15,16,0,2
32254,368,2017-02-15 20:00:00,1,Greenpoint/Williamsburg,804.0,510.0,2017,2,15,20,0,2
32698,368,2017-02-16 00:00:00,1,Greenpoint/Williamsburg,182.0,161.0,2017,2,16,0,0,2
33136,368,2017-02-16 04:00:00,1,Greenpoint/Williamsburg,261.0,40.0,2017,2,16,4,0,2
