index,Unique ID,Datetime,Structure,Neighborhood,Entries,Exits,Year,Month,Day,Hour,isHoliday,Neighborhood Size
578,374,2017-02-04 08:00:00,2,Ridgewood/Maspeth,237.0,264.0,2017,2,4,8,0,1
1040,374,2017-02-04 12:00:00,2,Ridgewood/Maspeth,385.0,547.0,2017,2,4,12,0,1
1504,374,2017-02-04 16:00:00,2,Ridgewood/Maspeth,555.0,768.0,2017,2,4,16,0,1
1968,374,2017-02-04 20:00:00,2,Ridgewood/Maspeth,439.0,372.0,2017,2,4,20,0,1
2431,374,2017-02-05 00:00:00,2,Ridgewood/Maspeth,124.0,122.0,2017,2,5,0,0,1
2893,374,2017-02-05 04:00:00,2,Ridgewood/Maspeth,18.0,42.0,2017,2,5,4,0,1
3355,374,2017-02-05 08:00:00,2,Ridgewood/Maspeth,149.0,156.0,2017,2,5,8,0,1
3818,374,2017-02-05 12:00:00,2,Ridgewood/Maspeth,335.0,439.0,2017,2,5,12,0,1
4280,374,2017-02-05 16:00:00,2,Ridgewood/Maspeth,487.0,546.0,2017,2,5,16,0,1
4743,374,2017-02-05 20:00:00,2,Ridgewood/Maspeth,294.0,244.0,2017,2,5,20,0,1
5193,374,2017-02-06 00:00:00,2,Ridgewood/Maspeth,38.0,65.0,2017,2,6,0,0,1
5636,374,2017-02-06 04:00:00,2,Ridgewood/Maspeth,265.0,152.0,2017,2,6,4,0,1
6097,374,2017-02-06 08:00:00,2,Ridgewood/Maspeth,1275.0,560.0,2017,2,6,8,0,1
6563,374,2017-02-06 12:00:00,2,Ridgewood/Maspeth,736.0,415.0,2017,2,6,12,0,1
7029,374,2017-02-06 16:00:00,2,Ridgewood/Maspeth,878.0,1252.0,2017,2,6,16,0,1
7495,374,2017-02-06 20:00:00,2,Ridgewood/Maspeth,459.0,781.0,2017,2,6,20,0,1
7934,374,2017-02-07 00:00:00,2,Ridgewood/Maspeth,43.0,153.0,2017,2,7,0,0,1
8370,374,2017-02-07 04:00:00,2,Ridgewood/Maspeth,292.0,134.0,2017,2,7,4,0,1
8831,374,2017-02-07 08:00:00,2,Ridgewood/Maspeth,1322.0,611.0,2017,2,7,8,0,1
9297,374,2017-02-07 12:00:00,2,Ridgewood/Maspeth,694.0,413.0,2017,2,7,12,0,1
9763,374,2017-02-07 16:00:00,2,Ridgewood/Maspeth,844.0,1292.0,2017,2,7,16,0,1
10229,374,2017-02-07 20:00:00,2,Ridgewood/Maspeth,459.0,759.0,2017,2,7,20,0,1
10671,374,2017-02-08 00:00:00,2,Ridgewood/Maspeth,34.0,154.0,2017,2,8,0,0,1
11111,374,2017-02-08 04:00:00,2,Ridgewood/Maspeth,306.0,145.0,2017,2,8,4,0,1
11572,374,2017-02-08 08:00:00,2,Ridgewood/Maspeth,1369.0,644.0,2017,2,8,8,0,1
12038,374,2017-02-08 12:00:00,2,Ridgewood/Maspeth,806.0,471.0,2017,2,8,12,0,1
12504,374,2017-02-08 16:00:00,2,Ridgewood/Maspeth,799.0,1333.0,2017,2,8,16,0,1
12970,374,2017-02-08 20:00:00,2,Ridgewood/Maspeth,437.0,819.0,2017,2,8,20,0,1
13430,374,2017-02-09 00:00:00,2,Ridgewood/Maspeth,69.0,151.0,2017,2,9,0,0,1
13886,374,2017-02-09 04:00:00,2,Ridgewood/Maspeth,269.0,110.0,2017,2,9,4,0,1
14351,374,2017-02-09 08:00:00,2,Ridgewood/Maspeth,644.0,262.0,2017,2,9,8,0,1
14817,374,2017-02-09 12:00:00,2,Ridgewood/Maspeth,360.0,300.0,2017,2,9,12,0,1
15283,374,2017-02-09 16:00:00,2,Ridgewood/Maspeth,318.0,682.0,2017,2,9,16,0,1
15749,374,2017-02-09 20:00:00,2,Ridgewood/Maspeth,237.0,385.0,2017,2,9,20,0,1
16186,374,2017-02-10 00:00:00,2,Ridgewood/Maspeth,36.0,114.0,2017,2,10,0,0,1
16624,374,2017-02-10 04:00:00,2,Ridgewood/Maspeth,378.0,141.0,2017,2,10,4,0,1
17083,374,2017-02-10 08:00:00,2,Ridgewood/Maspeth,1770.0,581.0,2017,2,10,8,0,1
17549,374,2017-02-10 12:00:00,2,Ridgewood/Maspeth,699.0,482.0,2017,2,10,12,0,1
18015,374,2017-02-10 16:00:00,2,Ridgewood/Maspeth,874.0,1335.0,2017,2,10,16,0,1
18481,374,2017-02-10 20:00:00,2,Ridgewood/Maspeth,507.0,754.0,2017,2,10,20,0,1
18947,374,2017-02-11 00:00:00,2,Ridgewood/Maspeth,99.0,172.0,2017,2,11,0,0,1
