index,Unique ID,Datetime,Structure,Neighborhood,Entries,Exits,Year,Month,Day,Hour,isHoliday,Neighborhood Size
165,373,2017-02-04 04:00:00,2,Elmhurst/Corona,54.0,74.0,2017,2,4,4,0,1
577,373,2017-02-04 08:00:00,2,Elmhurst/Corona,100.0,214.0,2017,2,4,8,0,1
1039,373,2017-02-04 12:00:00,2,Elmhurst/Corona,336.0,483.0,2017,2,4,12,0,1
1503,373,2017-02-04 16:00:00,2,Elmhurst/Corona,510.0,433.0,2017,2,4,16,0,1
1967,373,2017-02-04 20:00:00,2,Elmhurst/Corona,236.0,183.0,2017,2,4,20,0,1
2430,373,2017-02-05 00:00:00,2,Elmhurst/Corona,17.0,69.0,2017,2,5,0,0,1
2892,373,2017-02-05 04:00:00,2,Elmhurst/Corona,19.0,43.0,2017,2,5,4,0,1
3354,373,2017-02-05 08:00:00,2,Elmhurst/Corona,34.0,180.0,2017,2,5,8,0,1
3817,373,2017-02-05 12:00:00,2,Elmhurst/Corona,204.0,299.0,2017,2,5,12,0,1
4279,373,2017-02-05 16:00:00,2,Elmhurst/Corona,325.0,260.0,2017,2,5,16,0,1
4742,373,2017-02-05 20:00:00,2,Elmhurst/Corona,174.0,116.0,2017,2,5,20,0,1
5192,373,2017-02-06 00:00:00,2,Elmhurst/Corona,3.0,33.0,2017,2,6,0,0,1
5635,373,2017-02-06 04:00:00,2,Elmhurst/Corona,233.0,109.0,2017,2,6,4,0,1
6096,373,2017-02-06 08:00:00,2,Elmhurst/Corona,541.0,358.0,2017,2,6,8,0,1
6562,373,2017-02-06 12:00:00,2,Elmhurst/Corona,455.0,493.0,2017,2,6,12,0,1
7028,373,2017-02-06 16:00:00,2,Elmhurst/Corona,639.0,713.0,2017,2,6,16,0,1
7494,373,2017-02-06 20:00:00,2,Elmhurst/Corona,509.0,532.0,2017,2,6,20,0,1
7933,373,2017-02-07 00:00:00,2,Elmhurst/Corona,18.0,39.0,2017,2,7,0,0,1
8369,373,2017-02-07 04:00:00,2,Elmhurst/Corona,239.0,140.0,2017,2,7,4,0,1
8830,373,2017-02-07 08:00:00,2,Elmhurst/Corona,575.0,363.0,2017,2,7,8,0,1
9296,373,2017-02-07 12:00:00,2,Elmhurst/Corona,441.0,423.0,2017,2,7,12,0,1
9762,373,2017-02-07 16:00:00,2,Elmhurst/Corona,560.0,607.0,2017,2,7,16,0,1
10228,373,2017-02-07 20:00:00,2,Elmhurst/Corona,462.0,494.0,2017,2,7,20,0,1
10670,373,2017-02-08 00:00:00,2,Elmhurst/Corona,0.0,30.0,2017,2,8,0,0,1
11110,373,2017-02-08 04:00:00,2,Elmhurst/Corona,295.0,122.0,2017,2,8,4,0,1
11571,373,2017-02-08 08:00:00,2,Elmhurst/Corona,622.0,410.0,2017,2,8,8,0,1
12037,373,2017-02-08 12:00:00,2,Elmhurst/Corona,539.0,578.0,2017,2,8,12,0,1
12503,373,2017-02-08 16:00:00,2,Elmhurst/Corona,749.0,790.0,2017,2,8,16,0,1
12969,373,2017-02-08 20:00:00,2,Elmhurst/Corona,564.0,588.0,2017,2,8,20,0,1
13429,373,2017-02-09 00:00:00,2,Elmhurst/Corona,62.0,98.0,2017,2,9,0,0,1
13885,373,2017-02-09 04:00:00,2,Elmhurst/Corona,118.0,127.0,2017,2,9,4,0,1
14350,373,2017-02-09 08:00:00,2,Elmhurst/Corona,170.0,297.0,2017,2,9,8,0,1
