index,Unique ID,Datetime,Structure,Neighborhood,Entries,Exits,Year,Month,Day,Hour,isHoliday,Neighborhood Size
220,9,2017-02-04 08:00:00,2,Jackson Heights,2611.0,475.0,2017,2,4,8,0,1
679,9,2017-02-04 12:00:00,2,Jackson Heights,2030.0,870.0,2017,2,4,12,0,1
1142,9,2017-02-04 16:00:00,2,Jackson Heights,1693.0,1632.0,2017,2,4,16,0,1
1605,9,2017-02-04 20:00:00,2,Jackson Heights,827.0,1585.0,2017,2,4,20,0,1
2070,9,2017-02-05 00:00:00,2,Jackson Heights,219.0,1027.0,2017,2,5,0,0,1
2532,9,2017-02-05 04:00:00,2,Jackson Heights,311.0,306.0,2017,2,5,4,0,1
2995,9,2017-02-05 08:00:00,2,Jackson Heights,1711.0,316.0,2017,2,5,8,0,1
3456,9,2017-02-05 12:00:00,2,Jackson Heights,1666.0,695.0,2017,2,5,12,0,1
3920,9,2017-02-05 16:00:00,2,Jackson Heights,1525.0,1137.0,2017,2,5,16,0,1
4381,9,2017-02-05 20:00:00,2,Jackson Heights,717.0,1248.0,2017,2,5,20,0,1
4845,9,2017-02-06 00:00:00,2,Jackson Heights,2.0,129.0,2017,2,6,0,0,1
5290,9,2017-02-06 04:00:00,2,Jackson Heights,1698.0,228.0,2017,2,6,4,0,1
5733,9,2017-02-06 08:00:00,2,Jackson Heights,4909.0,558.0,2017,2,6,8,0,1
6199,9,2017-02-06 12:00:00,2,Jackson Heights,2304.0,638.0,2017,2,6,12,0,1
6665,9,2017-02-06 16:00:00,2,Jackson Heights,1616.0,2694.0,2017,2,6,16,0,1
7131,9,2017-02-06 20:00:00,2,Jackson Heights,891.0,2093.0,2017,2,6,20,0,1
7596,9,2017-02-07 00:00:00,2,Jackson Heights,1.0,96.0,2017,2,7,0,0,1
8027,9,2017-02-07 04:00:00,2,Jackson Heights,1751.0,241.0,2017,2,7,4,0,1
8467,9,2017-02-07 08:00:00,2,Jackson Heights,4811.0,618.0,2017,2,7,8,0,1
8933,9,2017-02-07 12:00:00,2,Jackson Heights,2298.0,768.0,2017,2,7,12,0,1
9399,9,2017-02-07 16:00:00,2,Jackson Heights,1613.0,2677.0,2017,2,7,16,0,1
9865,9,2017-02-07 20:00:00,2,Jackson Heights,907.0,2198.0,2017,2,7,20,0,1
10331,9,2017-02-08 00:00:00,2,Jackson Heights,1.0,215.0,2017,2,8,0,0,1
10768,9,2017-02-08 04:00:00,2,Jackson Heights,1799.0,287.0,2017,2,8,4,0,1
11208,9,2017-02-08 08:00:00,2,Jackson Heights,4961.0,574.0,2017,2,8,8,0,1
11674,9,2017-02-08 12:00:00,2,Jackson Heights,2295.0,737.0,2017,2,8,12,0,1
12140,9,2017-02-08 16:00:00,2,Jackson Heights,1745.0,2708.0,2017,2,8,16,0,1
12606,9,2017-02-08 20:00:00,2,Jackson Heights,994.0,2354.0,2017,2,8,20,0,1
13072,9,2017-02-09 00:00:00,2,Jackson Heights,24.0,942.0,2017,2,9,0,0,1
13530,9,2017-02-09 04:00:00,2,Jackson Heights,1482.0,273.0,2017,2,9,4,0,1
13987,9,2017-02-09 08:00:00,2,Jackson Heights,2735.0,442.0,2017,2,9,8,0,1
14453,9,2017-02-09 12:00:00,2,Jackson Heights,1477.0,663.0,2017,2,9,12,0,1
14919,9,2017-02-09 16:00:00,2,Jackson Heights,1139.0,1508.0,2017,2,9,16,0,1
15385,9,2017-02-09 20:00:00,2,Jackson Heights,623.0,1357.0,2017,2,9,20,0,1
15851,9,2017-02-10 00:00:00,2,Jackson Heights,1.0,82.0,2017,2,10,0,0,1
16277,9,2017-02-10 04:00:00,2,Jackson Heights,1555.0,258.0,2017,2,10,4,0,1
16719,9,2017-02-10 08:00:00,2,Jackson Heights,4941.0,502.0,2017,2,10,8,0,1
17185,9,2017-02-10 12:00:00,2,Jackson Heights,2366.0,779.0,2017,2,10,12,0,1
17651,9,2017-02-10 16:00:00,2,Jackson Heights,1882.0,2539.0,2017,2,10,16,0,1
18117,9,2017-02-10 20:00:00,2,Jackson Heights,1107.0,2182.0,2017,2,10,20,0,1
18583,9,2017-02-11 00:00:00,2,Jackson Heights,205.0,1182.0,2017,2,11,0,0,1
19049,9,2017-02-11 04:00:00,2,Jackson Heights,669.0,358.0,2017,2,11,4,0,1
19508,9,2017-02-11 08:00:00,2,Jackson Heights,2736.0,410.0,2017,2,11,8,0,1
19974,9,2017-02-11 12:00:00,2,Jackson Heights,2038.0,784.0,2017,2,11,12,0,1
20433,9,2017-02-11 16:00:00,2,Jackson Heights,1676.0,1449.0,2017,2,11,16,0,1
20899,9,2017-02-11 20:00:00,2,Jackson Heights,903.0,1556.0,2017,2,11,20,0,1
21360,9,2017-02-12 00:00:00,2,Jackson Heights,215.0,1112.0,2017,2,12,0,0,1
21825,9,2017-02-12 04:00:00,2,Jackson Heights,315.0,351.0,2017,2,12,4,0,1
22289,9,2017-02-12 08:00:00,2,Jackson Heights,1646.0,369.0,2017,2,12,8,0,1
22750,9,2017-02-12 12:00:00,2,Jackson Heights,1625.0,735.0,2017,2,12,12,0,1
23211,9,2017-02-12 16:00:00,2,Jackson Heights,1360.0,1117.0,2017,2,12,16,0,1
23673,9,2017-02-12 20:00:00,2,Jackson Heights,651.0,1314.0,2017,2,12,20,0,1
24134,9,2017-02-13 00:00:00,2,Jackson Heights,4.0,423.0,2017,2,13,0,0,1
24570,9,2017-02-13 04:00:00,2,Jackson Heights,1653.0,232.0,2017,2,13,4,0,1
25013,9,2017-02-13 08:00:00,2,Jackson Heights,4763.0,571.0,2017,2,13,8,0,1
25479,9,2017-02-13 12:00:00,2,Jackson Heights,2192.0,671.0,2017,2,13,12,0,1
