日期,最高温,最低温,天气,风力风向,空气质量指数
2017-04-18,23°,8°,多云~晴,西北偏西风2级
2017-04-19,19°,6°,晴,东北风2级
2017-04-20,12°,8°,多云~小雨,东南偏南风2级
2017-04-21,18°,11°,多云~大雨,东北风1级
2017-04-22,11°,9°,阴~多云,东北偏东风2级
2017-04-23,13°,8°,小雨~多云,西北偏北风1级
2017-04-24,18°,7°,晴~多云,东南风1级
2017-04-25,15°,10°,小雨~中雨,东风1级
2017-04-26,12°,10°,中雨,东北偏东风3级
2017-04-27,15°,13°,小雨~多云,东北偏东风2级
2017-04-28,21°,14°,多云~小雨,东南偏南风1级
2017-04-29,29°,17°,晴~小雨,西风1级
2017-04-30,29°,12°,多云,西风2级
2017-05-01,18°,10°,阴~多云,东风2级
2017-05-02,23°,16°,多云~大雨,西南风1级
2017-05-03,23°,11°,小雨~晴,西风3级
2017-05-04,18°,8°,多云~晴,西北偏西风2级
2017-05-05,17°,10°,多云~小雨,东南偏东风2级
2017-05-06,15°,15°,中雨~小雨,东南偏东风2级
2017-05-07,19°,9°,多云,南风2级
2017-05-08,13°,7°,小雨~多云,西风1级
2017-05-09,13°,7°,多云,西北偏西风2级
2017-05-10,17°,8°,多云~晴,西北偏北风1级
2017-05-11,17°,9°,多云~晴,东北偏北风1级
2017-05-12,17°,10°,多云,东北偏东风1级
2017-05-13,18°,10°,多云~小雨,东风1级
2017-05-14,10°,7°,中雨,东北偏东风2级
2017-05-15,19°,10°,雷阵雨~多云,西北风2级
2017-05-16,20°,12°,多云~晴,西北风2级
2017-05-17,26°,16°,多云~晴,西风2级
2017-05-18,32°,21°,晴,西南偏西风2级
2017-05-19,33°,23°,晴~雷阵雨,西南偏西风2级
2017-05-22,20°,13°,晴~小雨,东南风1级
2017-05-23,16°,14°,中雨~阴,东南偏东风1级
2017-05-24,20°,15°,多云~小雨,东北偏北风1级
2017-05-25,20°,13°,阴~小雨,东风2级
2017-05-26,14°,13°,中雨~大雨,东北偏东风2级
2017-05-27,22°,14°,多云~晴,西北偏西风2级
2017-05-28,21°,14°,多云,西北偏西风1级
2017-05-29,21°,13°,多云~小雨,东南风2级
2017-05-30,15°,12°,小雨~雾,东北偏东风2级
2017-05-31,15°,14°,小雨,东南偏东风1级
2017-06-01,23°,16°,多云~雷阵雨,西风1级
2017-06-02,26°,14°,晴,西风1级
2017-06-03,24°,12°,雷阵雨~多云,西风2级
2017-06-04,22°,13°,多云~晴,西北风1级
2017-06-05,21°,13°,中雨~小雨,西南偏南风1级
2017-06-06,19°,14°,多云~小雨,东风1级
2017-06-07,13°,10°,小雨,东北风2级
2017-06-08,19°,13°,多云~晴,东北偏东风1级
2017-06-09,20°,12°,多云~晴,东风1级
2017-06-10,26°,17°,多云~晴,西北偏西风2级
2017-06-11,33°,22°,晴,西南偏西风1级
2017-06-12,32°,23°,晴,西南偏西风1级
2017-06-13,34°,21°,雷阵雨~大雨,西风2级
2017-06-14,34°,21°,晴~大雨,西风1级
2017-06-15,28°,16°,小雨~晴,东风1级
2017-06-16,24°,16°,晴~多云,东南偏南风2级
2017-06-17,20°,18°,多云~小雨,东南偏东风2级
2017-06-18,27°,22°,雷阵雨~大雨,南风2级
2017-06-19,29°,22°,多云~大雨,南风1级
2017-06-20,31°,20°,雷阵雨~中雨,西南偏南风2级
2017-06-21,28°,20°,晴,西南偏西风2级
2017-06-22,28°,19°,晴,西风2级
2017-06-23,28°,22°,晴~小雨,东南偏南风1级
2017-06-24,28°,22°,大雨,西南风2级
2017-06-25,28°,20°,小雨~晴,西北风2级
2017-06-26,28°,18°,晴,西南风1级
2017-06-27,26°,18°,晴~小雨,西南偏西风1级
2017-06-28,25°,16°,雷阵雨,西南风1级
2017-06-29,25°,19°,晴,西北偏西风2级
2017-06-30,27°,22°,多云~晴,南风2级
2017-07-01,31°,22°,晴~雷阵雨,西南偏南风1级
2017-07-02,29°,21°,雷阵雨,南风1级
2017-07-03,31°,20°,雷阵雨,西南偏西风1级
2017-07-04,31°,21°,雷阵雨~晴,西风1级
2017-07-05,29°,20°,多云~晴,东南偏东风1级
2017-07-06,29°,18°,晴,东南偏东风2级
2017-07-07,25°,18°,小雨~中雨,东南偏南风1级
2017-07-08,26°,21°,中雨~大雨,东北风2级
2017-07-09,28°,19°,多云~雷阵雨,西南偏西风1级
2017-07-10,27°,20°,晴,西风2级
2017-07-11,28°,22°,多云,风向风0级
2017-07-12,29°,23°,雷阵雨~大雨,西南风1级
2017-07-13,31°,25°,多云~大雨,西风2级
2017-07-14,32°,20°,雷阵雨~大雨,南风2级
2017-07-15,21°,20°,中雨~大雨,东南偏东风1级
2017-07-16,28°,21°,多云,西北偏西风1级
2017-07-17,30°,22°,晴,西南风1级
2017-07-18,29°,22°,多云~雷阵雨,东南偏南风1级
2017-07-19,31°,23°,晴,南风1级
2017-07-20,33°,25°,晴,西南偏南风1级
2017-07-21,34°,23°,晴~雷阵雨,西南风1级
2017-07-22,33°,23°,晴,西北偏西风1级
2017-07-23,33°,22°,小雨~中雨,东风1级
2017-07-24,26°,19°,多云~中雨,东北偏东风1级
2017-07-25,22°,17°,小雨~中雨,东北风2级
2017-07-26,21°,17°,多云,东北风1级
2017-07-27,25°,19°,晴,东南风1级
2017-07-28,25°,21°,小雨,西南偏南风1级
2017-07-29,29°,19°,多云~中雨,东北偏东风1级
2017-07-30,25°,17°,阴~晴,东北偏北风2级
2017-07-31,27°,19°,晴,北风2级
2017-08-01,31°,21°,晴,西风1级
2017-08-02,33°,22°,晴,东南偏东风1级
2017-08-03,30°,20°,大雨~晴,西南偏南风1级
2017-08-04,30°,22°,晴~雷阵雨,东南偏南风1级
2017-08-05,28°,22°,雷阵雨~多云,东南偏南风2级
2017-08-06,25°,17°,多云~晴,西风2级
2017-08-07,24°,19°,多云~小雨,西风1级
2017-08-08,21°,18°,中雨~小雨,东南偏南风1级
2017-08-09,25°,18°,多云~晴,西北风1级
2017-08-10,29°,19°,晴,西南风1级
2017-08-11,28°,19°,晴,东南偏东风1级
2017-08-12,27°,21°,多云~小雨,南风1级
2017-08-13,25°,20°,多云~大雨,南风1级
2017-08-14,28°,20°,晴,西北风1级
2017-08-15,26°,21°,多云~小雨,东南风1级
2017-08-16,23°,21°,中雨~多云,南风1级
2017-08-17,30°,20°,晴,西北风1级
2017-08-18,28°,22°,晴~大雨,东南偏东风1级
2017-08-19,27°,22°,大雨,南风1级
2017-08-20,30°,21°,晴,西北偏西风1级
2017-08-21,27°,21°,晴,西北风1级
2017-08-22,30°,23°,晴,西南偏南风1级
2017-08-23,31°,22°,晴~大雨,西南偏南风2级
2017-08-24,27°,18°,多云~晴,西北风2级
2017-08-25,26°,17°,晴,西北偏北风1级
2017-08-26,25°,16°,晴,西北偏北风1级
2017-08-27,25°,16°,晴,东北偏北风1级
2017-08-28,23°,16°,晴~多云,东风2级
2017-08-29,24°,17°,多云,东北偏东风2级
2017-08-30,20°,15°,中雨,东北偏东风2级
2017-08-31,25°,18°,晴,西北偏北风1级
