index,Unique ID,Datetime,Structure,Neighborhood,Entries,Exits,Year,Month,Day,Hour,isHoliday,Neighborhood Size,isCovid
454,246,2017-02-04 08:00:00,2,Parkchester/Soundview,938.0,467.0,2017,2,4,8,0,0,1
916,246,2017-02-04 12:00:00,2,Parkchester/Soundview,1026.0,787.0,2017,2,4,12,0,0,1
1377,246,2017-02-04 16:00:00,2,Parkchester/Soundview,989.0,1417.0,2017,2,4,16,0,0,1
1841,246,2017-02-04 20:00:00,2,Parkchester/Soundview,637.0,1121.0,2017,2,4,20,0,0,1
2304,246,2017-02-05 00:00:00,2,Parkchester/Soundview,205.0,612.0,2017,2,5,0,0,0,1
2767,246,2017-02-05 04:00:00,2,Parkchester/Soundview,175.0,184.0,2017,2,5,4,0,0,1
3228,246,2017-02-05 08:00:00,2,Parkchester/Soundview,603.0,348.0,2017,2,5,8,0,0,1
3692,246,2017-02-05 12:00:00,2,Parkchester/Soundview,786.0,559.0,2017,2,5,12,0,0,1
4153,246,2017-02-05 16:00:00,2,Parkchester/Soundview,723.0,946.0,2017,2,5,16,0,0,1
4617,246,2017-02-05 20:00:00,2,Parkchester/Soundview,485.0,823.0,2017,2,5,20,0,0,1
5069,246,2017-02-06 00:00:00,2,Parkchester/Soundview,100.0,476.0,2017,2,6,0,0,0,1
5516,246,2017-02-06 04:00:00,2,Parkchester/Soundview,805.0,190.0,2017,2,6,4,0,0,1
5970,246,2017-02-06 08:00:00,2,Parkchester/Soundview,2881.0,704.0,2017,2,6,8,0,0,1
6436,246,2017-02-06 12:00:00,2,Parkchester/Soundview,1536.0,747.0,2017,2,6,12,0,0,1
6902,246,2017-02-06 16:00:00,2,Parkchester/Soundview,1088.0,2418.0,2017,2,6,16,0,0,1
7368,246,2017-02-06 20:00:00,2,Parkchester/Soundview,696.0,2061.0,2017,2,6,20,0,0,1
7817,246,2017-02-07 00:00:00,2,Parkchester/Soundview,80.0,677.0,2017,2,7,0,0,0,1
8250,246,2017-02-07 04:00:00,2,Parkchester/Soundview,826.0,177.0,2017,2,7,4,0,0,1
8704,246,2017-02-07 08:00:00,2,Parkchester/Soundview,2922.0,750.0,2017,2,7,8,0,0,1
9170,246,2017-02-07 12:00:00,2,Parkchester/Soundview,1564.0,639.0,2017,2,7,12,0,0,1
9636,246,2017-02-07 16:00:00,2,Parkchester/Soundview,1114.0,2787.0,2017,2,7,16,0,0,1
10102,246,2017-02-07 20:00:00,2,Parkchester/Soundview,770.0,1969.0,2017,2,7,20,0,0,1
10551,246,2017-02-08 00:00:00,2,Parkchester/Soundview,114.0,665.0,2017,2,8,0,0,0,1
10991,246,2017-02-08 04:00:00,2,Parkchester/Soundview,800.0,193.0,2017,2,8,4,0,0,1
11445,246,2017-02-08 08:00:00,2,Parkchester/Soundview,3033.0,803.0,2017,2,8,8,0,0,1
11911,246,2017-02-08 12:00:00,2,Parkchester/Soundview,1300.0,287.0,2017,2,8,12,0,0,1
12377,246,2017-02-08 16:00:00,2,Parkchester/Soundview,1266.0,2279.0,2017,2,8,16,0,0,1
12843,246,2017-02-08 20:00:00,2,Parkchester/Soundview,776.0,2040.0,2017,2,8,20,0,0,1
13305,246,2017-02-09 00:00:00,2,Parkchester/Soundview,112.0,839.0,2017,2,9,0,0,0,1
13761,246,2017-02-09 04:00:00,2,Parkchester/Soundview,715.0,211.0,2017,2,9,4,0,0,1
14224,246,2017-02-09 08:00:00,2,Parkchester/Soundview,1264.0,446.0,2017,2,9,8,0,0,1
14690,246,2017-02-09 12:00:00,2,Parkchester/Soundview,774.0,537.0,2017,2,9,12,0,0,1
15156,246,2017-02-09 16:00:00,2,Parkchester/Soundview,614.0,1260.0,2017,2,9,16,0,0,1
15622,246,2017-02-09 20:00:00,2,Parkchester/Soundview,434.0,889.0,2017,2,9,20,0,0,1
16067,246,2017-02-10 00:00:00,2,Parkchester/Soundview,43.0,528.0,2017,2,10,0,0,0,1
16502,246,2017-02-10 04:00:00,2,Parkchester/Soundview,809.0,195.0,2017,2,10,4,0,0,1
16956,246,2017-02-10 08:00:00,2,Parkchester/Soundview,2760.0,768.0,2017,2,10,8,0,0,1
17422,246,2017-02-10 12:00:00,2,Parkchester/Soundview,1557.0,713.0,2017,2,10,12,0,0,1
17888,246,2017-02-10 16:00:00,2,Parkchester/Soundview,1316.0,2326.0,2017,2,10,16,0,0,1
18354,246,2017-02-10 20:00:00,2,Parkchester/Soundview,793.0,1808.0,2017,2,10,20,0,0,1
18820,246,2017-02-11 00:00:00,2,Parkchester/Soundview,184.0,777.0,2017,2,11,0,0,0,1
19282,246,2017-02-11 04:00:00,2,Parkchester/Soundview,281.0,223.0,2017,2,11,4,0,0,1
19745,246,2017-02-11 08:00:00,2,Parkchester/Soundview,922.0,471.0,2017,2,11,8,0,0,1
20208,246,2017-02-11 12:00:00,2,Parkchester/Soundview,1119.0,785.0,2017,2,11,12,0,0,1
20670,246,2017-02-11 16:00:00,2,Parkchester/Soundview,987.0,1301.0,2017,2,11,16,0,0,1
21135,246,2017-02-11 20:00:00,2,Parkchester/Soundview,630.0,1121.0,2017,2,11,20,0,0,1
21597,246,2017-02-12 00:00:00,2,Parkchester/Soundview,203.0,620.0,2017,2,12,0,0,0,1
22061,246,2017-02-12 04:00:00,2,Parkchester/Soundview,222.0,211.0,2017,2,12,4,0,0,1
22524,246,2017-02-12 08:00:00,2,Parkchester/Soundview,554.0,333.0,2017,2,12,8,0,0,1
22984,246,2017-02-12 12:00:00,2,Parkchester/Soundview,685.0,514.0,2017,2,12,12,0,0,1
23447,246,2017-02-12 16:00:00,2,Parkchester/Soundview,702.0,820.0,2017,2,12,16,0,0,1
23907,246,2017-02-12 20:00:00,2,Parkchester/Soundview,451.0,730.0,2017,2,12,20,0,0,1
24355,246,2017-02-13 00:00:00,2,Parkchester/Soundview,60.0,453.0,2017,2,13,0,0,0,1
24793,246,2017-02-13 04:00:00,2,Parkchester/Soundview,813.0,153.0,2017,2,13,4,0,0,1
25250,246,2017-02-13 08:00:00,2,Parkchester/Soundview,2803.0,797.0,2017,2,13,8,0,0,1
25716,246,2017-02-13 12:00:00,2,Parkchester/Soundview,1575.0,655.0,2017,2,13,12,0,0,1
26182,246,2017-02-13 16:00:00,2,Parkchester/Soundview,1131.0,2494.0,2017,2,13,16,0,0,1
26648,246,2017-02-13 20:00:00,2,Parkchester/Soundview,695.0,1764.0,2017,2,13,20,0,0,1
27097,246,2017-02-14 00:00:00,2,Parkchester/Soundview,86.0,665.0,2017,2,14,0,0,0,1
27532,246,2017-02-14 04:00:00,2,Parkchester/Soundview,837.0,193.0,2017,2,14,4,0,0,1
