index,Unique ID,Datetime,Structure,Neighborhood,Entries,Exits,Year,Month,Day,Hour,isHoliday,Neighborhood Size,isCovid
431,223,2017-02-04 08:00:00,2,Coney Island,1340.0,519.0,2017,2,4,8,0,0,1
893,223,2017-02-04 12:00:00,2,Coney Island,1715.0,824.0,2017,2,4,12,0,0,1
1354,223,2017-02-04 16:00:00,2,Coney Island,1719.0,1191.0,2017,2,4,16,0,0,1
1818,223,2017-02-04 20:00:00,2,Coney Island,1005.0,886.0,2017,2,4,20,0,0,1
2281,223,2017-02-05 00:00:00,2,Coney Island,267.0,363.0,2017,2,5,0,0,0,1
2745,223,2017-02-05 04:00:00,2,Coney Island,130.0,103.0,2017,2,5,4,0,0,1
3205,223,2017-02-05 08:00:00,2,Coney Island,1038.0,367.0,2017,2,5,8,0,0,1
3669,223,2017-02-05 12:00:00,2,Coney Island,1450.0,843.0,2017,2,5,12,0,0,1
4130,223,2017-02-05 16:00:00,2,Coney Island,1489.0,991.0,2017,2,5,16,0,0,1
4594,223,2017-02-05 20:00:00,2,Coney Island,880.0,719.0,2017,2,5,20,0,0,1
5046,223,2017-02-06 00:00:00,2,Coney Island,146.0,342.0,2017,2,6,0,0,0,1
5494,223,2017-02-06 04:00:00,2,Coney Island,278.0,12.0,2017,2,6,4,0,0,1
5947,223,2017-02-06 08:00:00,2,Coney Island,4082.0,1581.0,2017,2,6,8,0,0,1
6413,223,2017-02-06 12:00:00,2,Coney Island,3284.0,1535.0,2017,2,6,12,0,0,1
6879,223,2017-02-06 16:00:00,2,Coney Island,3328.0,2741.0,2017,2,6,16,0,0,1
7345,223,2017-02-06 20:00:00,2,Coney Island,1654.0,1889.0,2017,2,6,20,0,0,1
7796,223,2017-02-07 00:00:00,2,Coney Island,157.0,505.0,2017,2,7,0,0,0,1
8230,223,2017-02-07 04:00:00,2,Coney Island,278.0,29.0,2017,2,7,4,0,0,1
8681,223,2017-02-07 08:00:00,2,Coney Island,4126.0,1469.0,2017,2,7,8,0,0,1
9147,223,2017-02-07 12:00:00,2,Coney Island,3336.0,1370.0,2017,2,7,12,0,0,1
9613,223,2017-02-07 16:00:00,2,Coney Island,3035.0,2591.0,2017,2,7,16,0,0,1
10079,223,2017-02-07 20:00:00,2,Coney Island,1635.0,1987.0,2017,2,7,20,0,0,1
10532,223,2017-02-08 00:00:00,2,Coney Island,189.0,498.0,2017,2,8,0,0,0,1
10970,223,2017-02-08 04:00:00,2,Coney Island,261.0,28.0,2017,2,8,4,0,0,1
11422,223,2017-02-08 08:00:00,2,Coney Island,4074.0,1606.0,2017,2,8,8,0,0,1
11888,223,2017-02-08 12:00:00,2,Coney Island,3572.0,1614.0,2017,2,8,12,0,0,1
12354,223,2017-02-08 16:00:00,2,Coney Island,3412.0,2785.0,2017,2,8,16,0,0,1
12820,223,2017-02-08 20:00:00,2,Coney Island,1816.0,1899.0,2017,2,8,20,0,0,1
13283,223,2017-02-09 00:00:00,2,Coney Island,228.0,547.0,2017,2,9,0,0,0,1
