index,Unique ID,Datetime,Structure,Neighborhood,Entries,Exits,Year,Month,Day,Hour,isHoliday,Neighborhood Size,isCovid
78,193,2017-02-04 04:00:00,2,Coney Island,76.0,3.0,2017,2,4,4,0,0,1
401,193,2017-02-04 08:00:00,2,Coney Island,498.0,47.0,2017,2,4,8,0,0,1
863,193,2017-02-04 12:00:00,2,Coney Island,575.0,106.0,2017,2,4,12,0,0,1
1324,193,2017-02-04 16:00:00,2,Coney Island,378.0,95.0,2017,2,4,16,0,0,1
1788,193,2017-02-04 20:00:00,2,Coney Island,197.0,49.0,2017,2,4,20,0,0,1
2252,193,2017-02-05 00:00:00,2,Coney Island,32.0,20.0,2017,2,5,0,0,0,1
2715,193,2017-02-05 04:00:00,2,Coney Island,56.0,10.0,2017,2,5,4,0,0,1
3176,193,2017-02-05 08:00:00,2,Coney Island,399.0,30.0,2017,2,5,8,0,0,1
3639,193,2017-02-05 12:00:00,2,Coney Island,517.0,68.0,2017,2,5,12,0,0,1
4101,193,2017-02-05 16:00:00,2,Coney Island,320.0,74.0,2017,2,5,16,0,0,1
4564,193,2017-02-05 20:00:00,2,Coney Island,177.0,51.0,2017,2,5,20,0,0,1
5464,193,2017-02-06 04:00:00,2,Coney Island,538.0,50.0,2017,2,6,4,0,0,1
5917,193,2017-02-06 08:00:00,2,Coney Island,1197.0,223.0,2017,2,6,8,0,0,1
6383,193,2017-02-06 12:00:00,2,Coney Island,821.0,227.0,2017,2,6,12,0,0,1
6849,193,2017-02-06 16:00:00,2,Coney Island,531.0,138.0,2017,2,6,16,0,0,1
7315,193,2017-02-06 20:00:00,2,Coney Island,306.0,96.0,2017,2,6,20,0,0,1
8201,193,2017-02-07 04:00:00,2,Coney Island,520.0,31.0,2017,2,7,4,0,0,1
8651,193,2017-02-07 08:00:00,2,Coney Island,1151.0,276.0,2017,2,7,8,0,0,1
9117,193,2017-02-07 12:00:00,2,Coney Island,833.0,287.0,2017,2,7,12,0,0,1
9583,193,2017-02-07 16:00:00,2,Coney Island,595.0,116.0,2017,2,7,16,0,0,1
