index,Unique ID,Datetime,Structure,Neighborhood,Entries,Exits,Year,Month,Day,Hour,isHoliday,Neighborhood Size,isCovid
652,451,2017-02-04 08:00:00,1,Woodside/Sunnyside,1230.0,631.0,2017,2,4,8,0,1,1
1115,451,2017-02-04 12:00:00,1,Woodside/Sunnyside,2479.0,1343.0,2017,2,4,12,0,1,1
1578,451,2017-02-04 16:00:00,1,Woodside/Sunnyside,2544.0,1969.0,2017,2,4,16,0,1,1
2043,451,2017-02-04 20:00:00,1,Woodside/Sunnyside,1679.0,1570.0,2017,2,4,20,0,1,1
2505,451,2017-02-05 00:00:00,1,Woodside/Sunnyside,713.0,686.0,2017,2,5,0,0,1,1
2968,451,2017-02-05 04:00:00,1,Woodside/Sunnyside,98.0,200.0,2017,2,5,4,0,1,1
3429,451,2017-02-05 08:00:00,1,Woodside/Sunnyside,835.0,475.0,2017,2,5,8,0,1,1
3893,451,2017-02-05 12:00:00,1,Woodside/Sunnyside,1902.0,1112.0,2017,2,5,12,0,1,1
4354,451,2017-02-05 16:00:00,1,Woodside/Sunnyside,1981.0,1906.0,2017,2,5,16,0,1,1
4818,451,2017-02-05 20:00:00,1,Woodside/Sunnyside,1301.0,1079.0,2017,2,5,20,0,1,1
5263,451,2017-02-06 00:00:00,1,Woodside/Sunnyside,645.0,547.0,2017,2,6,0,0,1,1
5706,451,2017-02-06 04:00:00,1,Woodside/Sunnyside,16.0,205.0,2017,2,6,4,0,1,1
6172,451,2017-02-06 08:00:00,1,Woodside/Sunnyside,6410.0,1815.0,2017,2,6,8,0,1,1
6638,451,2017-02-06 12:00:00,1,Woodside/Sunnyside,3319.0,1347.0,2017,2,6,12,0,1,1
7104,451,2017-02-06 16:00:00,1,Woodside/Sunnyside,3269.0,3549.0,2017,2,6,16,0,1,1
7570,451,2017-02-06 20:00:00,1,Woodside/Sunnyside,1753.0,3175.0,2017,2,6,20,0,1,1
8001,451,2017-02-07 00:00:00,1,Woodside/Sunnyside,426.0,718.0,2017,2,7,0,0,1,1
8440,451,2017-02-07 04:00:00,1,Woodside/Sunnyside,14.0,91.0,2017,2,7,4,0,1,1
8906,451,2017-02-07 08:00:00,1,Woodside/Sunnyside,7194.0,1852.0,2017,2,7,8,0,1,1
9372,451,2017-02-07 12:00:00,1,Woodside/Sunnyside,3273.0,1492.0,2017,2,7,12,0,1,1
9838,451,2017-02-07 16:00:00,1,Woodside/Sunnyside,3409.0,3417.0,2017,2,7,16,0,1,1
10304,451,2017-02-07 20:00:00,1,Woodside/Sunnyside,1836.0,3249.0,2017,2,7,20,0,1,1
