index,Unique ID,Datetime,Structure,Neighborhood,Entries,Exits,Year,Month,Day,Hour,isHoliday,Neighborhood Size,isCovid
561,354,2017-02-04 08:00:00,3,Sheepshead Bay,2234.0,1001.0,2017,2,4,8,0,1,1
1023,354,2017-02-04 12:00:00,3,Sheepshead Bay,2685.0,1513.0,2017,2,4,12,0,1,1
1484,354,2017-02-04 16:00:00,3,Sheepshead Bay,2484.0,2306.0,2017,2,4,16,0,1,1
1948,354,2017-02-04 20:00:00,3,Sheepshead Bay,1473.0,1990.0,2017,2,4,20,0,1,1
2411,354,2017-02-05 00:00:00,3,Sheepshead Bay,383.0,937.0,2017,2,5,0,0,1,1
2873,354,2017-02-05 04:00:00,3,Sheepshead Bay,120.0,185.0,2017,2,5,4,0,1,1
3335,354,2017-02-05 08:00:00,3,Sheepshead Bay,1636.0,779.0,2017,2,5,8,0,1,1
3798,354,2017-02-05 12:00:00,3,Sheepshead Bay,2585.0,1404.0,2017,2,5,12,0,1,1
4260,354,2017-02-05 16:00:00,3,Sheepshead Bay,2334.0,2354.0,2017,2,5,16,0,1,1
4723,354,2017-02-05 20:00:00,3,Sheepshead Bay,1154.0,1597.0,2017,2,5,20,0,1,1
5173,354,2017-02-06 00:00:00,3,Sheepshead Bay,218.0,680.0,2017,2,6,0,0,1,1
5616,354,2017-02-06 04:00:00,3,Sheepshead Bay,681.0,116.0,2017,2,6,4,0,1,1
6077,354,2017-02-06 08:00:00,3,Sheepshead Bay,8502.0,2672.0,2017,2,6,8,0,1,1
6543,354,2017-02-06 12:00:00,3,Sheepshead Bay,4991.0,2461.0,2017,2,6,12,0,1,1
7009,354,2017-02-06 16:00:00,3,Sheepshead Bay,4560.0,6994.0,2017,2,6,16,0,1,1
7475,354,2017-02-06 20:00:00,3,Sheepshead Bay,2253.0,5314.0,2017,2,6,20,0,1,1
7917,354,2017-02-07 00:00:00,3,Sheepshead Bay,244.0,969.0,2017,2,7,0,0,1,1
8350,354,2017-02-07 04:00:00,3,Sheepshead Bay,780.0,85.0,2017,2,7,4,0,1,1
8811,354,2017-02-07 08:00:00,3,Sheepshead Bay,8582.0,2644.0,2017,2,7,8,0,1,1
9277,354,2017-02-07 12:00:00,3,Sheepshead Bay,4811.0,2334.0,2017,2,7,12,0,1,1
9743,354,2017-02-07 16:00:00,3,Sheepshead Bay,4330.0,7015.0,2017,2,7,16,0,1,1
10209,354,2017-02-07 20:00:00,3,Sheepshead Bay,2277.0,5258.0,2017,2,7,20,0,1,1
10652,354,2017-02-08 00:00:00,3,Sheepshead Bay,278.0,797.0,2017,2,8,0,0,1,1
11091,354,2017-02-08 04:00:00,3,Sheepshead Bay,854.0,107.0,2017,2,8,4,0,1,1
11552,354,2017-02-08 08:00:00,3,Sheepshead Bay,8654.0,2788.0,2017,2,8,8,0,1,1
12018,354,2017-02-08 12:00:00,3,Sheepshead Bay,5144.0,2465.0,2017,2,8,12,0,1,1
12484,354,2017-02-08 16:00:00,3,Sheepshead Bay,4756.0,6917.0,2017,2,8,16,0,1,1
12950,354,2017-02-08 20:00:00,3,Sheepshead Bay,2468.0,5320.0,2017,2,8,20,0,1,1
13410,354,2017-02-09 00:00:00,3,Sheepshead Bay,280.0,957.0,2017,2,9,0,0,1,1
13866,354,2017-02-09 04:00:00,3,Sheepshead Bay,807.0,128.0,2017,2,9,4,0,1,1
14331,354,2017-02-09 08:00:00,3,Sheepshead Bay,3859.0,1307.0,2017,2,9,8,0,1,1
14797,354,2017-02-09 12:00:00,3,Sheepshead Bay,2000.0,1389.0,2017,2,9,12,0,1,1
15263,354,2017-02-09 16:00:00,3,Sheepshead Bay,1906.0,3279.0,2017,2,9,16,0,1,1
15729,354,2017-02-09 20:00:00,3,Sheepshead Bay,1133.0,2304.0,2017,2,9,20,0,1,1
16167,354,2017-02-10 00:00:00,3,Sheepshead Bay,146.0,696.0,2017,2,10,0,0,1,1
16604,354,2017-02-10 04:00:00,3,Sheepshead Bay,571.0,58.0,2017,2,10,4,0,1,1
17063,354,2017-02-10 08:00:00,3,Sheepshead Bay,7682.0,2721.0,2017,2,10,8,0,1,1
17529,354,2017-02-10 12:00:00,3,Sheepshead Bay,4901.0,2498.0,2017,2,10,12,0,1,1
17995,354,2017-02-10 16:00:00,3,Sheepshead Bay,4146.0,6046.0,2017,2,10,16,0,1,1
18461,354,2017-02-10 20:00:00,3,Sheepshead Bay,2013.0,4247.0,2017,2,10,20,0,1,1
18927,354,2017-02-11 00:00:00,3,Sheepshead Bay,289.0,1328.0,2017,2,11,0,0,1,1
19388,354,2017-02-11 04:00:00,3,Sheepshead Bay,237.0,197.0,2017,2,11,4,0,1,1
19852,354,2017-02-11 08:00:00,3,Sheepshead Bay,2083.0,1033.0,2017,2,11,8,0,1,1
20313,354,2017-02-11 12:00:00,3,Sheepshead Bay,2888.0,1561.0,2017,2,11,12,0,1,1
20777,354,2017-02-11 16:00:00,3,Sheepshead Bay,2721.0,2438.0,2017,2,11,16,0,1,1
21240,354,2017-02-11 20:00:00,3,Sheepshead Bay,1544.0,2160.0,2017,2,11,20,0,1,1
21704,354,2017-02-12 00:00:00,3,Sheepshead Bay,375.0,1072.0,2017,2,12,0,0,1,1
22168,354,2017-02-12 04:00:00,3,Sheepshead Bay,156.0,241.0,2017,2,12,4,0,1,1
22629,354,2017-02-12 08:00:00,3,Sheepshead Bay,1587.0,825.0,2017,2,12,8,0,1,1
23090,354,2017-02-12 12:00:00,3,Sheepshead Bay,2092.0,1353.0,2017,2,12,12,0,1,1
23552,354,2017-02-12 16:00:00,3,Sheepshead Bay,2003.0,1943.0,2017,2,12,16,0,1,1
24013,354,2017-02-12 20:00:00,3,Sheepshead Bay,1118.0,1609.0,2017,2,12,20,0,1,1
24456,354,2017-02-13 00:00:00,3,Sheepshead Bay,160.0,531.0,2017,2,13,0,0,1,1
24895,354,2017-02-13 04:00:00,3,Sheepshead Bay,941.0,117.0,2017,2,13,4,0,1,1
25357,354,2017-02-13 08:00:00,3,Sheepshead Bay,6968.0,2211.0,2017,2,13,8,0,1,1
25823,354,2017-02-13 12:00:00,3,Sheepshead Bay,5271.0,2646.0,2017,2,13,12,0,1,1
26289,354,2017-02-13 16:00:00,3,Sheepshead Bay,4573.0,6520.0,2017,2,13,16,0,1,1
26755,354,2017-02-13 20:00:00,3,Sheepshead Bay,2243.0,5077.0,2017,2,13,20,0,1,1
27197,354,2017-02-14 00:00:00,3,Sheepshead Bay,239.0,623.0,2017,2,14,0,0,1,1
27635,354,2017-02-14 04:00:00,3,Sheepshead Bay,2015.0,574.0,2017,2,14,4,0,1,1
28098,354,2017-02-14 08:00:00,3,Sheepshead Bay,7916.0,2307.0,2017,2,14,8,0,1,1
28564,354,2017-02-14 12:00:00,3,Sheepshead Bay,4500.0,2195.0,2017,2,14,12,0,1,1
29030,354,2017-02-14 16:00:00,3,Sheepshead Bay,4808.0,6675.0,2017,2,14,16,0,1,1
29496,354,2017-02-14 20:00:00,3,Sheepshead Bay,2399.0,5249.0,2017,2,14,20,0,1,1
29936,354,2017-02-15 00:00:00,3,Sheepshead Bay,271.0,1307.0,2017,2,15,0,0,1,1
30379,354,2017-02-15 04:00:00,3,Sheepshead Bay,866.0,126.0,2017,2,15,4,0,1,1
30842,354,2017-02-15 08:00:00,3,Sheepshead Bay,8512.0,2696.0,2017,2,15,8,0,1,1
31308,354,2017-02-15 12:00:00,3,Sheepshead Bay,4811.0,2486.0,2017,2,15,12,0,1,1
31774,354,2017-02-15 16:00:00,3,Sheepshead Bay,4641.0,6927.0,2017,2,15,16,0,1,1
32240,354,2017-02-15 20:00:00,3,Sheepshead Bay,2371.0,5264.0,2017,2,15,20,0,1,1
32686,354,2017-02-16 00:00:00,3,Sheepshead Bay,262.0,1016.0,2017,2,16,0,0,1,1
33122,354,2017-02-16 04:00:00,3,Sheepshead Bay,827.0,149.0,2017,2,16,4,0,1,1
33585,354,2017-02-16 08:00:00,3,Sheepshead Bay,8409.0,2565.0,2017,2,16,8,0,1,1
