index,Unique ID,Datetime,Structure,Neighborhood,Entries,Exits,Year,Month,Day,Hour,isHoliday,Neighborhood Size,isCovid
529,321,2017-02-04 08:00:00,1,Lower East Side/Chinatown,1198.0,3424.0,2017,2,4,8,0,2,1
991,321,2017-02-04 12:00:00,1,Lower East Side/Chinatown,3688.0,4359.0,2017,2,4,12,0,2,1
1452,321,2017-02-04 16:00:00,1,Lower East Side/Chinatown,6386.0,3458.0,2017,2,4,16,0,2,1
1916,321,2017-02-04 20:00:00,1,Lower East Side/Chinatown,4141.0,2104.0,2017,2,4,20,0,2,1
2379,321,2017-02-05 00:00:00,1,Lower East Side/Chinatown,1296.0,924.0,2017,2,5,0,0,2,1
2841,321,2017-02-05 04:00:00,1,Lower East Side/Chinatown,116.0,47.0,2017,2,5,4,0,2,1
3303,321,2017-02-05 08:00:00,1,Lower East Side/Chinatown,751.0,2667.0,2017,2,5,8,0,2,1
3767,321,2017-02-05 12:00:00,1,Lower East Side/Chinatown,3875.0,5477.0,2017,2,5,12,0,2,1
4228,321,2017-02-05 16:00:00,1,Lower East Side/Chinatown,7614.0,3011.0,2017,2,5,16,0,2,1
4692,321,2017-02-05 20:00:00,1,Lower East Side/Chinatown,3825.0,1171.0,2017,2,5,20,0,2,1
5141,321,2017-02-06 00:00:00,1,Lower East Side/Chinatown,744.0,664.0,2017,2,6,0,0,2,1
5586,321,2017-02-06 04:00:00,1,Lower East Side/Chinatown,14.0,23.0,2017,2,6,4,0,2,1
6045,321,2017-02-06 08:00:00,1,Lower East Side/Chinatown,3357.0,6255.0,2017,2,6,8,0,2,1
6511,321,2017-02-06 12:00:00,1,Lower East Side/Chinatown,4127.0,4901.0,2017,2,6,12,0,2,1
6977,321,2017-02-06 16:00:00,1,Lower East Side/Chinatown,8442.0,3909.0,2017,2,6,16,0,2,1
7443,321,2017-02-06 20:00:00,1,Lower East Side/Chinatown,4893.0,2308.0,2017,2,6,20,0,2,1
7886,321,2017-02-07 00:00:00,1,Lower East Side/Chinatown,487.0,403.0,2017,2,7,0,0,2,1
8779,321,2017-02-07 08:00:00,1,Lower East Side/Chinatown,3200.0,5935.0,2017,2,7,8,0,2,1
9245,321,2017-02-07 12:00:00,1,Lower East Side/Chinatown,3578.0,4708.0,2017,2,7,12,0,2,1
9711,321,2017-02-07 16:00:00,1,Lower East Side/Chinatown,7856.0,3898.0,2017,2,7,16,0,2,1
10177,321,2017-02-07 20:00:00,1,Lower East Side/Chinatown,4639.0,2411.0,2017,2,7,20,0,2,1
10620,321,2017-02-08 00:00:00,1,Lower East Side/Chinatown,458.0,343.0,2017,2,8,0,0,2,1
11520,321,2017-02-08 08:00:00,1,Lower East Side/Chinatown,3182.0,6045.0,2017,2,8,8,0,2,1
11986,321,2017-02-08 12:00:00,1,Lower East Side/Chinatown,4287.0,4999.0,2017,2,8,12,0,2,1
12452,321,2017-02-08 16:00:00,1,Lower East Side/Chinatown,8684.0,3970.0,2017,2,8,16,0,2,1
12918,321,2017-02-08 20:00:00,1,Lower East Side/Chinatown,5260.0,2231.0,2017,2,8,20,0,2,1
13378,321,2017-02-09 00:00:00,1,Lower East Side/Chinatown,766.0,542.0,2017,2,9,0,0,2,1
13835,321,2017-02-09 04:00:00,1,Lower East Side/Chinatown,5.0,49.0,2017,2,9,4,0,2,1
14299,321,2017-02-09 08:00:00,1,Lower East Side/Chinatown,1660.0,2888.0,2017,2,9,8,0,2,1
14765,321,2017-02-09 12:00:00,1,Lower East Side/Chinatown,1677.0,2147.0,2017,2,9,12,0,2,1
15231,321,2017-02-09 16:00:00,1,Lower East Side/Chinatown,3217.0,2140.0,2017,2,9,16,0,2,1
15697,321,2017-02-09 20:00:00,1,Lower East Side/Chinatown,2098.0,1475.0,2017,2,9,20,0,2,1
16137,321,2017-02-10 00:00:00,1,Lower East Side/Chinatown,456.0,465.0,2017,2,10,0,0,2,1
17031,321,2017-02-10 08:00:00,1,Lower East Side/Chinatown,3214.0,5565.0,2017,2,10,8,0,2,1
17497,321,2017-02-10 12:00:00,1,Lower East Side/Chinatown,3486.0,4448.0,2017,2,10,12,0,2,1
17963,321,2017-02-10 16:00:00,1,Lower East Side/Chinatown,7778.0,4319.0,2017,2,10,16,0,2,1
