index,Unique ID,Datetime,Structure,Neighborhood,Entries,Exits,Year,Month,Day,Hour,isHoliday,Neighborhood Size,isCovid
569,363,2017-02-04 08:00:00,1,Upper East Side,644.0,922.0,2017,2,4,8,0,2,1
1031,363,2017-02-04 12:00:00,1,Upper East Side,1666.0,1174.0,2017,2,4,12,0,2,1
1493,363,2017-02-04 16:00:00,1,Upper East Side,2763.0,1333.0,2017,2,4,16,0,2,1
1957,363,2017-02-04 20:00:00,1,Upper East Side,2141.0,797.0,2017,2,4,20,0,2,1
2420,363,2017-02-05 00:00:00,1,Upper East Side,870.0,288.0,2017,2,5,0,0,2,1
2882,363,2017-02-05 04:00:00,1,Upper East Side,151.0,60.0,2017,2,5,4,0,2,1
3344,363,2017-02-05 08:00:00,1,Upper East Side,419.0,590.0,2017,2,5,8,0,2,1
3807,363,2017-02-05 12:00:00,1,Upper East Side,1241.0,944.0,2017,2,5,12,0,2,1
4269,363,2017-02-05 16:00:00,1,Upper East Side,2056.0,1130.0,2017,2,5,16,0,2,1
4732,363,2017-02-05 20:00:00,1,Upper East Side,1549.0,573.0,2017,2,5,20,0,2,1
5182,363,2017-02-06 00:00:00,1,Upper East Side,615.0,274.0,2017,2,6,0,0,2,1
5625,363,2017-02-06 04:00:00,1,Upper East Side,25.0,27.0,2017,2,6,4,0,2,1
6086,363,2017-02-06 08:00:00,1,Upper East Side,2171.0,3662.0,2017,2,6,8,0,2,1
6552,363,2017-02-06 12:00:00,1,Upper East Side,1660.0,1857.0,2017,2,6,12,0,2,1
7018,363,2017-02-06 16:00:00,1,Upper East Side,5803.0,1792.0,2017,2,6,16,0,2,1
7484,363,2017-02-06 20:00:00,1,Upper East Side,3785.0,1226.0,2017,2,6,20,0,2,1
7924,363,2017-02-07 00:00:00,1,Upper East Side,736.0,271.0,2017,2,7,0,0,2,1
8359,363,2017-02-07 04:00:00,1,Upper East Side,38.0,41.0,2017,2,7,4,0,2,1
8820,363,2017-02-07 08:00:00,1,Upper East Side,2358.0,3729.0,2017,2,7,8,0,2,1
9286,363,2017-02-07 12:00:00,1,Upper East Side,1630.0,1982.0,2017,2,7,12,0,2,1
9752,363,2017-02-07 16:00:00,1,Upper East Side,5681.0,1714.0,2017,2,7,16,0,2,1
10218,363,2017-02-07 20:00:00,1,Upper East Side,3939.0,1317.0,2017,2,7,20,0,2,1
10661,363,2017-02-08 00:00:00,1,Upper East Side,931.0,297.0,2017,2,8,0,0,2,1
11100,363,2017-02-08 04:00:00,1,Upper East Side,24.0,57.0,2017,2,8,4,0,2,1
11561,363,2017-02-08 08:00:00,1,Upper East Side,2287.0,3741.0,2017,2,8,8,0,2,1
12027,363,2017-02-08 12:00:00,1,Upper East Side,1792.0,2019.0,2017,2,8,12,0,2,1
12493,363,2017-02-08 16:00:00,1,Upper East Side,5293.0,1864.0,2017,2,8,16,0,2,1
12959,363,2017-02-08 20:00:00,1,Upper East Side,4191.0,1323.0,2017,2,8,20,0,2,1
13419,363,2017-02-09 00:00:00,1,Upper East Side,866.0,296.0,2017,2,9,0,0,2,1
13875,363,2017-02-09 04:00:00,1,Upper East Side,73.0,133.0,2017,2,9,4,0,2,1
14340,363,2017-02-09 08:00:00,1,Upper East Side,1448.0,2225.0,2017,2,9,8,0,2,1
14806,363,2017-02-09 12:00:00,1,Upper East Side,1321.0,1218.0,2017,2,9,12,0,2,1
15272,363,2017-02-09 16:00:00,1,Upper East Side,3367.0,1185.0,2017,2,9,16,0,2,1
15738,363,2017-02-09 20:00:00,1,Upper East Side,2361.0,783.0,2017,2,9,20,0,2,1
16176,363,2017-02-10 00:00:00,1,Upper East Side,674.0,203.0,2017,2,10,0,0,2,1
16613,363,2017-02-10 04:00:00,1,Upper East Side,28.0,24.0,2017,2,10,4,0,2,1
17072,363,2017-02-10 08:00:00,1,Upper East Side,2231.0,3685.0,2017,2,10,8,0,2,1
17538,363,2017-02-10 12:00:00,1,Upper East Side,1929.0,2001.0,2017,2,10,12,0,2,1
18004,363,2017-02-10 16:00:00,1,Upper East Side,5883.0,2007.0,2017,2,10,16,0,2,1
18470,363,2017-02-10 20:00:00,1,Upper East Side,3963.0,1233.0,2017,2,10,20,0,2,1
18936,363,2017-02-11 00:00:00,1,Upper East Side,1103.0,359.0,2017,2,11,0,0,2,1
19397,363,2017-02-11 04:00:00,1,Upper East Side,153.0,103.0,2017,2,11,4,0,2,1
19861,363,2017-02-11 08:00:00,1,Upper East Side,596.0,1028.0,2017,2,11,8,0,2,1
20322,363,2017-02-11 12:00:00,1,Upper East Side,1674.0,1342.0,2017,2,11,12,0,2,1
20786,363,2017-02-11 16:00:00,1,Upper East Side,3035.0,1536.0,2017,2,11,16,0,2,1
21249,363,2017-02-11 20:00:00,1,Upper East Side,2420.0,983.0,2017,2,11,20,0,2,1
21713,363,2017-02-12 00:00:00,1,Upper East Side,1015.0,320.0,2017,2,12,0,0,2,1
22177,363,2017-02-12 04:00:00,1,Upper East Side,114.0,70.0,2017,2,12,4,0,2,1
22638,363,2017-02-12 08:00:00,1,Upper East Side,453.0,601.0,2017,2,12,8,0,2,1
23099,363,2017-02-12 12:00:00,1,Upper East Side,1215.0,1052.0,2017,2,12,12,0,2,1
23561,363,2017-02-12 16:00:00,1,Upper East Side,1840.0,1207.0,2017,2,12,16,0,2,1
24022,363,2017-02-12 20:00:00,1,Upper East Side,1529.0,644.0,2017,2,12,20,0,2,1
24464,363,2017-02-13 00:00:00,1,Upper East Side,523.0,171.0,2017,2,13,0,0,2,1
24904,363,2017-02-13 04:00:00,1,Upper East Side,27.0,67.0,2017,2,13,4,0,2,1
25366,363,2017-02-13 08:00:00,1,Upper East Side,2132.0,3610.0,2017,2,13,8,0,2,1
25832,363,2017-02-13 12:00:00,1,Upper East Side,2584.0,2156.0,2017,2,13,12,0,2,1
26298,363,2017-02-13 16:00:00,1,Upper East Side,5273.0,1565.0,2017,2,13,16,0,2,1
26764,363,2017-02-13 20:00:00,1,Upper East Side,3617.0,1229.0,2017,2,13,20,0,2,1
27206,363,2017-02-14 00:00:00,1,Upper East Side,901.0,286.0,2017,2,14,0,0,2,1
27644,363,2017-02-14 04:00:00,1,Upper East Side,33.0,118.0,2017,2,14,4,0,2,1
28107,363,2017-02-14 08:00:00,1,Upper East Side,2336.0,3894.0,2017,2,14,8,0,2,1
28573,363,2017-02-14 12:00:00,1,Upper East Side,1924.0,2050.0,2017,2,14,12,0,2,1
29039,363,2017-02-14 16:00:00,1,Upper East Side,6229.0,1944.0,2017,2,14,16,0,2,1
29505,363,2017-02-14 20:00:00,1,Upper East Side,4100.0,1353.0,2017,2,14,20,0,2,1
29945,363,2017-02-15 00:00:00,1,Upper East Side,1065.0,337.0,2017,2,15,0,0,2,1
30388,363,2017-02-15 04:00:00,1,Upper East Side,77.0,159.0,2017,2,15,4,0,2,1
30851,363,2017-02-15 08:00:00,1,Upper East Side,2200.0,3699.0,2017,2,15,8,0,2,1
31317,363,2017-02-15 12:00:00,1,Upper East Side,1838.0,1932.0,2017,2,15,12,0,2,1
31783,363,2017-02-15 16:00:00,1,Upper East Side,5900.0,1772.0,2017,2,15,16,0,2,1
32249,363,2017-02-15 20:00:00,1,Upper East Side,4019.0,1276.0,2017,2,15,20,0,2,1
32694,363,2017-02-16 00:00:00,1,Upper East Side,946.0,357.0,2017,2,16,0,0,2,1
33131,363,2017-02-16 04:00:00,1,Upper East Side,38.0,51.0,2017,2,16,4,0,2,1
33594,363,2017-02-16 08:00:00,1,Upper East Side,2266.0,3674.0,2017,2,16,8,0,2,1
34060,363,2017-02-16 12:00:00,1,Upper East Side,1903.0,2024.0,2017,2,16,12,0,2,1
34526,363,2017-02-16 16:00:00,1,Upper East Side,5915.0,1790.0,2017,2,16,16,0,2,1
34992,363,2017-02-16 20:00:00,1,Upper East Side,4025.0,1288.0,2017,2,16,20,0,2,1
35441,363,2017-02-17 00:00:00,1,Upper East Side,952.0,318.0,2017,2,17,0,0,2,1
35881,363,2017-02-17 04:00:00,1,Upper East Side,68.0,98.0,2017,2,17,4,0,2,1
36345,363,2017-02-17 08:00:00,1,Upper East Side,2071.0,3582.0,2017,2,17,8,0,2,1
