index,Unique ID,Datetime,Structure,Neighborhood,Entries,Exits,Year,Month,Day,Hour,isHoliday,Neighborhood Size,isCovid
14,28,2017-02-04 04:00:00,1,Financial District,650.0,499.0,2017,2,4,4,0,2,1
239,28,2017-02-04 08:00:00,1,Financial District,849.0,3200.0,2017,2,4,8,0,2,1
698,28,2017-02-04 12:00:00,1,Financial District,4477.0,7805.0,2017,2,4,12,0,2,1
1161,28,2017-02-04 16:00:00,1,Financial District,7954.0,8813.0,2017,2,4,16,0,2,1
1624,28,2017-02-04 20:00:00,1,Financial District,6231.0,5628.0,2017,2,4,20,0,2,1
2089,28,2017-02-05 00:00:00,1,Financial District,2446.0,1732.0,2017,2,5,0,0,2,1
2551,28,2017-02-05 04:00:00,1,Financial District,567.0,335.0,2017,2,5,4,0,2,1
3014,28,2017-02-05 08:00:00,1,Financial District,634.0,2147.0,2017,2,5,8,0,2,1
3475,28,2017-02-05 12:00:00,1,Financial District,2827.0,5416.0,2017,2,5,12,0,2,1
3939,28,2017-02-05 16:00:00,1,Financial District,5411.0,6321.0,2017,2,5,16,0,2,1
4400,28,2017-02-05 20:00:00,1,Financial District,4564.0,3558.0,2017,2,5,20,0,2,1
4864,28,2017-02-06 00:00:00,1,Financial District,1362.0,546.0,2017,2,6,0,0,2,1
5309,28,2017-02-06 04:00:00,1,Financial District,286.0,911.0,2017,2,6,4,0,2,1
5752,28,2017-02-06 08:00:00,1,Financial District,2824.0,8180.0,2017,2,6,8,0,2,1
6218,28,2017-02-06 12:00:00,1,Financial District,5741.0,9750.0,2017,2,6,12,0,2,1
6684,28,2017-02-06 16:00:00,1,Financial District,10551.0,8137.0,2017,2,6,16,0,2,1
7150,28,2017-02-06 20:00:00,1,Financial District,9171.0,5889.0,2017,2,6,20,0,2,1
7615,28,2017-02-07 00:00:00,1,Financial District,1593.0,260.0,2017,2,7,0,0,2,1
8046,28,2017-02-07 04:00:00,1,Financial District,263.0,952.0,2017,2,7,4,0,2,1
