index,Unique ID,Datetime,Structure,Neighborhood,Entries,Exits,Year,Month,Day,Hour,isHoliday,Neighborhood Size,isCovid
664,463,2017-02-04 08:00:00,2,Kew Gardens/Woodhaven,666.0,145.0,2017,2,4,8,0,1,1
1127,463,2017-02-04 12:00:00,2,Kew Gardens/Woodhaven,632.0,218.0,2017,2,4,12,0,1,1
1590,463,2017-02-04 16:00:00,2,Kew Gardens/Woodhaven,635.0,367.0,2017,2,4,16,0,1,1
2055,463,2017-02-04 20:00:00,2,Kew Gardens/Woodhaven,451.0,258.0,2017,2,4,20,0,1,1
2517,463,2017-02-05 00:00:00,2,Kew Gardens/Woodhaven,156.0,101.0,2017,2,5,0,0,1,1
2980,463,2017-02-05 04:00:00,2,Kew Gardens/Woodhaven,99.0,49.0,2017,2,5,4,0,1,1
3441,463,2017-02-05 08:00:00,2,Kew Gardens/Woodhaven,446.0,110.0,2017,2,5,8,0,1,1
3905,463,2017-02-05 12:00:00,2,Kew Gardens/Woodhaven,517.0,153.0,2017,2,5,12,0,1,1
4366,463,2017-02-05 16:00:00,2,Kew Gardens/Woodhaven,546.0,249.0,2017,2,5,16,0,1,1
4830,463,2017-02-05 20:00:00,2,Kew Gardens/Woodhaven,352.0,190.0,2017,2,5,20,0,1,1
5275,463,2017-02-06 00:00:00,2,Kew Gardens/Woodhaven,86.0,87.0,2017,2,6,0,0,1,1
5718,463,2017-02-06 04:00:00,2,Kew Gardens/Woodhaven,468.0,60.0,2017,2,6,4,0,1,1
6184,463,2017-02-06 08:00:00,2,Kew Gardens/Woodhaven,1896.0,297.0,2017,2,6,8,0,1,1
6650,463,2017-02-06 12:00:00,2,Kew Gardens/Woodhaven,969.0,260.0,2017,2,6,12,0,1,1
7116,463,2017-02-06 16:00:00,2,Kew Gardens/Woodhaven,902.0,829.0,2017,2,6,16,0,1,1
7582,463,2017-02-06 20:00:00,2,Kew Gardens/Woodhaven,516.0,546.0,2017,2,6,20,0,1,1
8012,463,2017-02-07 00:00:00,2,Kew Gardens/Woodhaven,76.0,148.0,2017,2,7,0,0,1,1
8452,463,2017-02-07 04:00:00,2,Kew Gardens/Woodhaven,494.0,61.0,2017,2,7,4,0,1,1
8918,463,2017-02-07 08:00:00,2,Kew Gardens/Woodhaven,1926.0,292.0,2017,2,7,8,0,1,1
9384,463,2017-02-07 12:00:00,2,Kew Gardens/Woodhaven,938.0,252.0,2017,2,7,12,0,1,1
9850,463,2017-02-07 16:00:00,2,Kew Gardens/Woodhaven,896.0,1231.0,2017,2,7,16,0,1,1
10316,463,2017-02-07 20:00:00,2,Kew Gardens/Woodhaven,531.0,894.0,2017,2,7,20,0,1,1
10753,463,2017-02-08 00:00:00,2,Kew Gardens/Woodhaven,73.0,187.0,2017,2,8,0,0,1,1
11193,463,2017-02-08 04:00:00,2,Kew Gardens/Woodhaven,412.0,51.0,2017,2,8,4,0,1,1
11659,463,2017-02-08 08:00:00,2,Kew Gardens/Woodhaven,1870.0,288.0,2017,2,8,8,0,1,1
12125,463,2017-02-08 12:00:00,2,Kew Gardens/Woodhaven,1042.0,273.0,2017,2,8,12,0,1,1
12591,463,2017-02-08 16:00:00,2,Kew Gardens/Woodhaven,921.0,807.0,2017,2,8,16,0,1,1
13057,463,2017-02-08 20:00:00,2,Kew Gardens/Woodhaven,580.0,508.0,2017,2,8,20,0,1,1
13515,463,2017-02-09 00:00:00,2,Kew Gardens/Woodhaven,102.0,151.0,2017,2,9,0,0,1,1
13972,463,2017-02-09 04:00:00,2,Kew Gardens/Woodhaven,421.0,58.0,2017,2,9,4,0,1,1
14438,463,2017-02-09 08:00:00,2,Kew Gardens/Woodhaven,830.0,206.0,2017,2,9,8,0,1,1
14904,463,2017-02-09 12:00:00,2,Kew Gardens/Woodhaven,457.0,229.0,2017,2,9,12,0,1,1
15370,463,2017-02-09 16:00:00,2,Kew Gardens/Woodhaven,413.0,416.0,2017,2,9,16,0,1,1
15836,463,2017-02-09 20:00:00,2,Kew Gardens/Woodhaven,266.0,208.0,2017,2,9,20,0,1,1
16263,463,2017-02-10 00:00:00,2,Kew Gardens/Woodhaven,44.0,77.0,2017,2,10,0,0,1,1
16704,463,2017-02-10 04:00:00,2,Kew Gardens/Woodhaven,442.0,58.0,2017,2,10,4,0,1,1
17170,463,2017-02-10 08:00:00,2,Kew Gardens/Woodhaven,1898.0,323.0,2017,2,10,8,0,1,1
17636,463,2017-02-10 12:00:00,2,Kew Gardens/Woodhaven,1035.0,324.0,2017,2,10,12,0,1,1
18102,463,2017-02-10 16:00:00,2,Kew Gardens/Woodhaven,953.0,779.0,2017,2,10,16,0,1,1
18568,463,2017-02-10 20:00:00,2,Kew Gardens/Woodhaven,568.0,510.0,2017,2,10,20,0,1,1
19034,463,2017-02-11 00:00:00,2,Kew Gardens/Woodhaven,132.0,149.0,2017,2,11,0,0,1,1
19494,463,2017-02-11 04:00:00,2,Kew Gardens/Woodhaven,148.0,61.0,2017,2,11,4,0,1,1
19959,463,2017-02-11 08:00:00,2,Kew Gardens/Woodhaven,651.0,143.0,2017,2,11,8,0,1,1
20419,463,2017-02-11 12:00:00,2,Kew Gardens/Woodhaven,688.0,267.0,2017,2,11,12,0,1,1
20884,463,2017-02-11 16:00:00,2,Kew Gardens/Woodhaven,682.0,385.0,2017,2,11,16,0,1,1
21346,463,2017-02-11 20:00:00,2,Kew Gardens/Woodhaven,500.0,286.0,2017,2,11,20,0,1,1
21810,463,2017-02-12 00:00:00,2,Kew Gardens/Woodhaven,198.0,130.0,2017,2,12,0,0,1,1
22275,463,2017-02-12 04:00:00,2,Kew Gardens/Woodhaven,127.0,58.0,2017,2,12,4,0,1,1
22735,463,2017-02-12 08:00:00,2,Kew Gardens/Woodhaven,436.0,88.0,2017,2,12,8,0,1,1
23197,463,2017-02-12 12:00:00,2,Kew Gardens/Woodhaven,498.0,168.0,2017,2,12,12,0,1,1
23658,463,2017-02-12 16:00:00,2,Kew Gardens/Woodhaven,424.0,257.0,2017,2,12,16,0,1,1
24120,463,2017-02-12 20:00:00,2,Kew Gardens/Woodhaven,359.0,190.0,2017,2,12,20,0,1,1
24556,463,2017-02-13 00:00:00,2,Kew Gardens/Woodhaven,78.0,70.0,2017,2,13,0,0,1,1
24998,463,2017-02-13 04:00:00,2,Kew Gardens/Woodhaven,455.0,62.0,2017,2,13,4,0,1,1
25464,463,2017-02-13 08:00:00,2,Kew Gardens/Woodhaven,1754.0,301.0,2017,2,13,8,0,1,1
25930,463,2017-02-13 12:00:00,2,Kew Gardens/Woodhaven,943.0,250.0,2017,2,13,12,0,1,1
26396,463,2017-02-13 16:00:00,2,Kew Gardens/Woodhaven,887.0,780.0,2017,2,13,16,0,1,1
26862,463,2017-02-13 20:00:00,2,Kew Gardens/Woodhaven,570.0,497.0,2017,2,13,20,0,1,1
27296,463,2017-02-14 00:00:00,2,Kew Gardens/Woodhaven,87.0,134.0,2017,2,14,0,0,1,1
27739,463,2017-02-14 04:00:00,2,Kew Gardens/Woodhaven,402.0,61.0,2017,2,14,4,0,1,1
28205,463,2017-02-14 08:00:00,2,Kew Gardens/Woodhaven,1958.0,302.0,2017,2,14,8,0,1,1
28671,463,2017-02-14 12:00:00,2,Kew Gardens/Woodhaven,1037.0,310.0,2017,2,14,12,0,1,1
29137,463,2017-02-14 16:00:00,2,Kew Gardens/Woodhaven,923.0,833.0,2017,2,14,16,0,1,1
29603,463,2017-02-14 20:00:00,2,Kew Gardens/Woodhaven,539.0,528.0,2017,2,14,20,0,1,1
30037,463,2017-02-15 00:00:00,2,Kew Gardens/Woodhaven,98.0,169.0,2017,2,15,0,0,1,1
30483,463,2017-02-15 04:00:00,2,Kew Gardens/Woodhaven,454.0,62.0,2017,2,15,4,0,1,1
30949,463,2017-02-15 08:00:00,2,Kew Gardens/Woodhaven,1936.0,277.0,2017,2,15,8,0,1,1
31415,463,2017-02-15 12:00:00,2,Kew Gardens/Woodhaven,1018.0,249.0,2017,2,15,12,0,1,1
31881,463,2017-02-15 16:00:00,2,Kew Gardens/Woodhaven,860.0,903.0,2017,2,15,16,0,1,1
32347,463,2017-02-15 20:00:00,2,Kew Gardens/Woodhaven,542.0,547.0,2017,2,15,20,0,1,1
32785,463,2017-02-16 00:00:00,2,Kew Gardens/Woodhaven,99.0,138.0,2017,2,16,0,0,1,1
33226,463,2017-02-16 04:00:00,2,Kew Gardens/Woodhaven,424.0,70.0,2017,2,16,4,0,1,1
33692,463,2017-02-16 08:00:00,2,Kew Gardens/Woodhaven,1876.0,273.0,2017,2,16,8,0,1,1
34158,463,2017-02-16 12:00:00,2,Kew Gardens/Woodhaven,988.0,235.0,2017,2,16,12,0,1,1
34624,463,2017-02-16 16:00:00,2,Kew Gardens/Woodhaven,894.0,796.0,2017,2,16,16,0,1,1
35090,463,2017-02-16 20:00:00,2,Kew Gardens/Woodhaven,521.0,512.0,2017,2,16,20,0,1,1
35532,463,2017-02-17 00:00:00,2,Kew Gardens/Woodhaven,84.0,139.0,2017,2,17,0,0,1,1
35977,463,2017-02-17 04:00:00,2,Kew Gardens/Woodhaven,456.0,58.0,2017,2,17,4,0,1,1
36443,463,2017-02-17 08:00:00,2,Kew Gardens/Woodhaven,1842.0,292.0,2017,2,17,8,0,1,1
36909,463,2017-02-17 12:00:00,2,Kew Gardens/Woodhaven,989.0,305.0,2017,2,17,12,0,1,1
37375,463,2017-02-17 16:00:00,2,Kew Gardens/Woodhaven,951.0,777.0,2017,2,17,16,0,1,1
37841,463,2017-02-17 20:00:00,2,Kew Gardens/Woodhaven,592.0,496.0,2017,2,17,20,0,1,1
38307,463,2017-02-18 00:00:00,2,Kew Gardens/Woodhaven,143.0,163.0,2017,2,18,0,0,1,1
38764,463,2017-02-18 04:00:00,2,Kew Gardens/Woodhaven,154.0,72.0,2017,2,18,4,0,1,1
39228,463,2017-02-18 08:00:00,2,Kew Gardens/Woodhaven,50.0,31.0,2017,2,18,8,0,1,1
39679,463,2017-02-18 12:00:00,2,Kew Gardens/Woodhaven,23.0,28.0,2017,2,18,12,0,1,1
40140,463,2017-02-18 16:00:00,2,Kew Gardens/Woodhaven,14.0,4.0,2017,2,18,16,0,1,1
40600,463,2017-02-18 20:00:00,2,Kew Gardens/Woodhaven,231.0,130.0,2017,2,18,20,0,1,1
41064,463,2017-02-19 00:00:00,2,Kew Gardens/Woodhaven,149.0,91.0,2017,2,19,0,0,1,1
41525,463,2017-02-19 04:00:00,2,Kew Gardens/Woodhaven,126.0,57.0,2017,2,19,4,0,1,1
41989,463,2017-02-19 08:00:00,2,Kew Gardens/Woodhaven,36.0,18.0,2017,2,19,8,0,1,1
42447,463,2017-02-19 12:00:00,2,Kew Gardens/Woodhaven,15.0,7.0,2017,2,19,12,0,1,1
42904,463,2017-02-19 16:00:00,2,Kew Gardens/Woodhaven,5.0,6.0,2017,2,19,16,0,1,1
43368,463,2017-02-19 20:00:00,2,Kew Gardens/Woodhaven,238.0,136.0,2017,2,19,20,0,1,1
43825,463,2017-02-20 00:00:00,2,Kew Gardens/Woodhaven,119.0,113.0,2017,2,20,0,1,1,1
44287,463,2017-02-20 04:00:00,2,Kew Gardens/Woodhaven,233.0,43.0,2017,2,20,4,1,1,1
44748,463,2017-02-20 08:00:00,2,Kew Gardens/Woodhaven,845.0,170.0,2017,2,20,8,1,1,1
45211,463,2017-02-20 12:00:00,2,Kew Gardens/Woodhaven,671.0,252.0,2017,2,20,12,1,1,1
45669,463,2017-02-20 16:00:00,2,Kew Gardens/Woodhaven,707.0,374.0,2017,2,20,16,1,1,1
46131,463,2017-02-20 20:00:00,2,Kew Gardens/Woodhaven,463.0,289.0,2017,2,20,20,1,1,1
46573,463,2017-02-21 00:00:00,2,Kew Gardens/Woodhaven,95.0,118.0,2017,2,21,0,0,1,1
47014,463,2017-02-21 04:00:00,2,Kew Gardens/Woodhaven,395.0,53.0,2017,2,21,4,0,1,1
47480,463,2017-02-21 08:00:00,2,Kew Gardens/Woodhaven,1608.0,209.0,2017,2,21,8,0,1,1
47946,463,2017-02-21 12:00:00,2,Kew Gardens/Woodhaven,935.0,217.0,2017,2,21,12,0,1,1
48412,463,2017-02-21 16:00:00,2,Kew Gardens/Woodhaven,792.0,630.0,2017,2,21,16,0,1,1
48878,463,2017-02-21 20:00:00,2,Kew Gardens/Woodhaven,475.0,382.0,2017,2,21,20,0,1,1
49331,463,2017-02-22 00:00:00,2,Kew Gardens/Woodhaven,79.0,118.0,2017,2,22,0,0,1,1
49774,463,2017-02-22 04:00:00,2,Kew Gardens/Woodhaven,442.0,47.0,2017,2,22,4,0,1,1
50240,463,2017-02-22 08:00:00,2,Kew Gardens/Woodhaven,1540.0,257.0,2017,2,22,8,0,1,1
50706,463,2017-02-22 12:00:00,2,Kew Gardens/Woodhaven,953.0,243.0,2017,2,22,12,0,1,1
