index,Unique ID,Datetime,Structure,Neighborhood,Entries,Exits,Year,Month,Day,Hour,isHoliday,Neighborhood Size,isCovid
113,281,2017-02-04 04:00:00,1,Washington Heights/Inwood,212.0,11.0,2017,2,4,4,0,0,1
489,281,2017-02-04 08:00:00,1,Washington Heights/Inwood,788.0,29.0,2017,2,4,8,0,0,1
951,281,2017-02-04 12:00:00,1,Washington Heights/Inwood,1307.0,48.0,2017,2,4,12,0,0,1
1412,281,2017-02-04 16:00:00,1,Washington Heights/Inwood,1172.0,47.0,2017,2,4,16,0,0,1
1876,281,2017-02-04 20:00:00,1,Washington Heights/Inwood,680.0,42.0,2017,2,4,20,0,0,1
2339,281,2017-02-05 00:00:00,1,Washington Heights/Inwood,201.0,24.0,2017,2,5,0,0,0,1
2802,281,2017-02-05 04:00:00,1,Washington Heights/Inwood,128.0,6.0,2017,2,5,4,0,0,1
3263,281,2017-02-05 08:00:00,1,Washington Heights/Inwood,537.0,21.0,2017,2,5,8,0,0,1
3727,281,2017-02-05 12:00:00,1,Washington Heights/Inwood,960.0,37.0,2017,2,5,12,0,0,1
4188,281,2017-02-05 16:00:00,1,Washington Heights/Inwood,912.0,36.0,2017,2,5,16,0,0,1
4652,281,2017-02-05 20:00:00,1,Washington Heights/Inwood,535.0,37.0,2017,2,5,20,0,0,1
5104,281,2017-02-06 00:00:00,1,Washington Heights/Inwood,35.0,7.0,2017,2,6,0,0,0,1
5548,281,2017-02-06 04:00:00,1,Washington Heights/Inwood,822.0,2.0,2017,2,6,4,0,0,1
6005,281,2017-02-06 08:00:00,1,Washington Heights/Inwood,2297.0,23.0,2017,2,6,8,0,0,1
6471,281,2017-02-06 12:00:00,1,Washington Heights/Inwood,1818.0,30.0,2017,2,6,12,0,0,1
6937,281,2017-02-06 16:00:00,1,Washington Heights/Inwood,1021.0,46.0,2017,2,6,16,0,0,1
7403,281,2017-02-06 20:00:00,1,Washington Heights/Inwood,667.0,37.0,2017,2,6,20,0,0,1
7850,281,2017-02-07 00:00:00,1,Washington Heights/Inwood,18.0,6.0,2017,2,7,0,0,0,1
8283,281,2017-02-07 04:00:00,1,Washington Heights/Inwood,876.0,17.0,2017,2,7,4,0,0,1
8739,281,2017-02-07 08:00:00,1,Washington Heights/Inwood,2426.0,22.0,2017,2,7,8,0,0,1
9205,281,2017-02-07 12:00:00,1,Washington Heights/Inwood,1921.0,39.0,2017,2,7,12,0,0,1
9671,281,2017-02-07 16:00:00,1,Washington Heights/Inwood,1078.0,54.0,2017,2,7,16,0,0,1
10137,281,2017-02-07 20:00:00,1,Washington Heights/Inwood,711.0,39.0,2017,2,7,20,0,0,1
10584,281,2017-02-08 00:00:00,1,Washington Heights/Inwood,17.0,15.0,2017,2,8,0,0,0,1
11023,281,2017-02-08 04:00:00,1,Washington Heights/Inwood,841.0,15.0,2017,2,8,4,0,0,1
11480,281,2017-02-08 08:00:00,1,Washington Heights/Inwood,2413.0,22.0,2017,2,8,8,0,0,1
11946,281,2017-02-08 12:00:00,1,Washington Heights/Inwood,2023.0,35.0,2017,2,8,12,0,0,1
12412,281,2017-02-08 16:00:00,1,Washington Heights/Inwood,1207.0,50.0,2017,2,8,16,0,0,1
12878,281,2017-02-08 20:00:00,1,Washington Heights/Inwood,751.0,39.0,2017,2,8,20,0,0,1
13340,281,2017-02-09 00:00:00,1,Washington Heights/Inwood,71.0,11.0,2017,2,9,0,0,0,1
13796,281,2017-02-09 04:00:00,1,Washington Heights/Inwood,449.0,8.0,2017,2,9,4,0,0,1
14259,281,2017-02-09 08:00:00,1,Washington Heights/Inwood,1247.0,21.0,2017,2,9,8,0,0,1
14725,281,2017-02-09 12:00:00,1,Washington Heights/Inwood,1038.0,35.0,2017,2,9,12,0,0,1
15191,281,2017-02-09 16:00:00,1,Washington Heights/Inwood,665.0,39.0,2017,2,9,16,0,0,1
15657,281,2017-02-09 20:00:00,1,Washington Heights/Inwood,477.0,35.0,2017,2,9,20,0,0,1
16100,281,2017-02-10 00:00:00,1,Washington Heights/Inwood,2.0,9.0,2017,2,10,0,0,0,1
16535,281,2017-02-10 04:00:00,1,Washington Heights/Inwood,802.0,11.0,2017,2,10,4,0,0,1
16991,281,2017-02-10 08:00:00,1,Washington Heights/Inwood,2312.0,17.0,2017,2,10,8,0,0,1
