index,Unique ID,Datetime,Structure,Neighborhood,Entries,Exits,Year,Month,Day,Hour,isHoliday,Neighborhood Size,isCovid
533,325,2017-02-04 08:00:00,3,Morris Park/Bronxdale,558.0,100.0,2017,2,4,8,0,0,1
995,325,2017-02-04 12:00:00,3,Morris Park/Bronxdale,596.0,131.0,2017,2,4,12,0,0,1
1456,325,2017-02-04 16:00:00,3,Morris Park/Bronxdale,502.0,203.0,2017,2,4,16,0,0,1
1920,325,2017-02-04 20:00:00,3,Morris Park/Bronxdale,405.0,214.0,2017,2,4,20,0,0,1
2383,325,2017-02-05 00:00:00,3,Morris Park/Bronxdale,116.0,107.0,2017,2,5,0,0,0,1
2845,325,2017-02-05 04:00:00,3,Morris Park/Bronxdale,104.0,39.0,2017,2,5,4,0,0,1
3307,325,2017-02-05 08:00:00,3,Morris Park/Bronxdale,370.0,91.0,2017,2,5,8,0,0,1
3771,325,2017-02-05 12:00:00,3,Morris Park/Bronxdale,396.0,110.0,2017,2,5,12,0,0,1
4232,325,2017-02-05 16:00:00,3,Morris Park/Bronxdale,419.0,175.0,2017,2,5,16,0,0,1
4696,325,2017-02-05 20:00:00,3,Morris Park/Bronxdale,268.0,196.0,2017,2,5,20,0,0,1
5145,325,2017-02-06 00:00:00,3,Morris Park/Bronxdale,12.0,36.0,2017,2,6,0,0,0,1
5590,325,2017-02-06 04:00:00,3,Morris Park/Bronxdale,843.0,35.0,2017,2,6,4,0,0,1
6049,325,2017-02-06 08:00:00,3,Morris Park/Bronxdale,2599.0,122.0,2017,2,6,8,0,0,1
6515,325,2017-02-06 12:00:00,3,Morris Park/Bronxdale,1337.0,202.0,2017,2,6,12,0,0,1
6981,325,2017-02-06 16:00:00,3,Morris Park/Bronxdale,736.0,496.0,2017,2,6,16,0,0,1
7447,325,2017-02-06 20:00:00,3,Morris Park/Bronxdale,446.0,460.0,2017,2,6,20,0,0,1
7890,325,2017-02-07 00:00:00,3,Morris Park/Bronxdale,22.0,59.0,2017,2,7,0,0,0,1
8325,325,2017-02-07 04:00:00,3,Morris Park/Bronxdale,956.0,25.0,2017,2,7,4,0,0,1
8783,325,2017-02-07 08:00:00,3,Morris Park/Bronxdale,2526.0,142.0,2017,2,7,8,0,0,1
9249,325,2017-02-07 12:00:00,3,Morris Park/Bronxdale,1245.0,186.0,2017,2,7,12,0,0,1
9715,325,2017-02-07 16:00:00,3,Morris Park/Bronxdale,735.0,473.0,2017,2,7,16,0,0,1
10181,325,2017-02-07 20:00:00,3,Morris Park/Bronxdale,412.0,396.0,2017,2,7,20,0,0,1
10624,325,2017-02-08 00:00:00,3,Morris Park/Bronxdale,11.0,38.0,2017,2,8,0,0,0,1
11065,325,2017-02-08 04:00:00,3,Morris Park/Bronxdale,615.0,31.0,2017,2,8,4,0,0,1
11524,325,2017-02-08 08:00:00,3,Morris Park/Bronxdale,2672.0,144.0,2017,2,8,8,0,0,1
11990,325,2017-02-08 12:00:00,3,Morris Park/Bronxdale,1391.0,201.0,2017,2,8,12,0,0,1
12456,325,2017-02-08 16:00:00,3,Morris Park/Bronxdale,833.0,501.0,2017,2,8,16,0,0,1
12922,325,2017-02-08 20:00:00,3,Morris Park/Bronxdale,480.0,440.0,2017,2,8,20,0,0,1
13382,325,2017-02-09 00:00:00,3,Morris Park/Bronxdale,23.0,124.0,2017,2,9,0,0,0,1
13839,325,2017-02-09 04:00:00,3,Morris Park/Bronxdale,666.0,47.0,2017,2,9,4,0,0,1
14303,325,2017-02-09 08:00:00,3,Morris Park/Bronxdale,947.0,78.0,2017,2,9,8,0,0,1
14769,325,2017-02-09 12:00:00,3,Morris Park/Bronxdale,478.0,136.0,2017,2,9,12,0,0,1
15235,325,2017-02-09 16:00:00,3,Morris Park/Bronxdale,370.0,323.0,2017,2,9,16,0,0,1
15701,325,2017-02-09 20:00:00,3,Morris Park/Bronxdale,258.0,189.0,2017,2,9,20,0,0,1
16577,325,2017-02-10 04:00:00,3,Morris Park/Bronxdale,805.0,30.0,2017,2,10,4,0,0,1
17035,325,2017-02-10 08:00:00,3,Morris Park/Bronxdale,2403.0,139.0,2017,2,10,8,0,0,1
17501,325,2017-02-10 12:00:00,3,Morris Park/Bronxdale,1287.0,185.0,2017,2,10,12,0,0,1
17967,325,2017-02-10 16:00:00,3,Morris Park/Bronxdale,767.0,528.0,2017,2,10,16,0,0,1
18433,325,2017-02-10 20:00:00,3,Morris Park/Bronxdale,451.0,403.0,2017,2,10,20,0,0,1
18899,325,2017-02-11 00:00:00,3,Morris Park/Bronxdale,69.0,109.0,2017,2,11,0,0,0,1
19360,325,2017-02-11 04:00:00,3,Morris Park/Bronxdale,9.0,15.0,2017,2,11,4,0,0,1
19824,325,2017-02-11 08:00:00,3,Morris Park/Bronxdale,5.0,3.0,2017,2,11,8,0,0,1
20749,325,2017-02-11 16:00:00,3,Morris Park/Bronxdale,2.0,2.0,2017,2,11,16,0,0,1
21676,325,2017-02-12 00:00:00,3,Morris Park/Bronxdale,0.0,2.0,2017,2,12,0,0,0,1
22140,325,2017-02-12 04:00:00,3,Morris Park/Bronxdale,4.0,1.0,2017,2,12,4,0,0,1
23062,325,2017-02-12 12:00:00,3,Morris Park/Bronxdale,4.0,4.0,2017,2,12,12,0,0,1
23985,325,2017-02-12 20:00:00,3,Morris Park/Bronxdale,14.0,4.0,2017,2,12,20,0,0,1
24868,325,2017-02-13 04:00:00,3,Morris Park/Bronxdale,740.0,22.0,2017,2,13,4,0,0,1
25329,325,2017-02-13 08:00:00,3,Morris Park/Bronxdale,2259.0,129.0,2017,2,13,8,0,0,1
25795,325,2017-02-13 12:00:00,3,Morris Park/Bronxdale,2218.0,185.0,2017,2,13,12,0,0,1
26261,325,2017-02-13 16:00:00,3,Morris Park/Bronxdale,1473.0,214.0,2017,2,13,16,0,0,1
26727,325,2017-02-13 20:00:00,3,Morris Park/Bronxdale,750.0,150.0,2017,2,13,20,0,0,1
27170,325,2017-02-14 00:00:00,3,Morris Park/Bronxdale,395.0,150.0,2017,2,14,0,0,0,1
27607,325,2017-02-14 04:00:00,3,Morris Park/Bronxdale,512.0,121.0,2017,2,14,4,0,0,1
28070,325,2017-02-14 08:00:00,3,Morris Park/Bronxdale,688.0,174.0,2017,2,14,8,0,0,1
28536,325,2017-02-14 12:00:00,3,Morris Park/Bronxdale,905.0,154.0,2017,2,14,12,0,0,1
29002,325,2017-02-14 16:00:00,3,Morris Park/Bronxdale,820.0,534.0,2017,2,14,16,0,0,1
29468,325,2017-02-14 20:00:00,3,Morris Park/Bronxdale,446.0,427.0,2017,2,14,20,0,0,1
29908,325,2017-02-15 00:00:00,3,Morris Park/Bronxdale,19.0,118.0,2017,2,15,0,0,0,1
30352,325,2017-02-15 04:00:00,3,Morris Park/Bronxdale,920.0,35.0,2017,2,15,4,0,0,1
30814,325,2017-02-15 08:00:00,3,Morris Park/Bronxdale,2619.0,111.0,2017,2,15,8,0,0,1
31280,325,2017-02-15 12:00:00,3,Morris Park/Bronxdale,1320.0,163.0,2017,2,15,12,0,0,1
31746,325,2017-02-15 16:00:00,3,Morris Park/Bronxdale,780.0,567.0,2017,2,15,16,0,0,1
32212,325,2017-02-15 20:00:00,3,Morris Park/Bronxdale,445.0,384.0,2017,2,15,20,0,0,1
32659,325,2017-02-16 00:00:00,3,Morris Park/Bronxdale,3.0,69.0,2017,2,16,0,0,0,1
33095,325,2017-02-16 04:00:00,3,Morris Park/Bronxdale,927.0,53.0,2017,2,16,4,0,0,1
33557,325,2017-02-16 08:00:00,3,Morris Park/Bronxdale,2668.0,135.0,2017,2,16,8,0,0,1
34023,325,2017-02-16 12:00:00,3,Morris Park/Bronxdale,1322.0,228.0,2017,2,16,12,0,0,1
34489,325,2017-02-16 16:00:00,3,Morris Park/Bronxdale,822.0,407.0,2017,2,16,16,0,0,1
34955,325,2017-02-16 20:00:00,3,Morris Park/Bronxdale,443.0,464.0,2017,2,16,20,0,0,1
35846,325,2017-02-17 04:00:00,3,Morris Park/Bronxdale,905.0,34.0,2017,2,17,4,0,0,1
36308,325,2017-02-17 08:00:00,3,Morris Park/Bronxdale,2406.0,151.0,2017,2,17,8,0,0,1
36774,325,2017-02-17 12:00:00,3,Morris Park/Bronxdale,1268.0,200.0,2017,2,17,12,0,0,1
37240,325,2017-02-17 16:00:00,3,Morris Park/Bronxdale,834.0,535.0,2017,2,17,16,0,0,1
37706,325,2017-02-17 20:00:00,3,Morris Park/Bronxdale,480.0,316.0,2017,2,17,20,0,0,1
